,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Score,Country
3.1961,Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,356.5,3
6.1961,Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,241.9929445,6
7.1961,United Arab Emirates,ARE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,193.8,7
12.1961,Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,24.3,12
13.1961,Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,40.3,13
16.1961,Belgium,BEL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,32.4,16
17.1961,Benin,BEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,309.2,17
18.1961,Burkina Faso,BFA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,343.1,18
19.1961,Bangladesh,BGD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,257.5,19
21.1961,Bahrain,BHR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,183.1,21
27.1961,Bolivia,BOL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,281.4,27
28.1961,Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,167.2,28
29.1961,Barbados,BRB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,78,29
32.1961,Botswana,BWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,164.1,32
33.1961,Central African Republic,CAF,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,278.1,33
34.1961,Canada,CAN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,31.6,34
36.1961,Switzerland,CHE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,26,36
38.1961,Chile,CHL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,148.5,38
40.1961,Cote d'Ivoire,CIV,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,303.4,40
41.1961,Cameroon,CMR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,275.7,41
42.1961,"Congo, Rep.",COG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,180.2,42
43.1961,Colombia,COL,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,124.6,43
47.1961,Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,78.49737039,47
55.1961,Dominica,DMA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,127.2,55
56.1961,Denmark,DNK,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,24.5,56
57.1961,Dominican Republic,DOM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,145.9,57
58.1961,Algeria,DZA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,246.1,58
63.1961,Ecuador,ECU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,174.1,63
64.1961,"Egypt, Arab Rep.",EGY,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,302.9,64
65.1961,Euro area,EMU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,44.36954511,65
67.1961,Spain,ESP,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,51.6,67
70.1961,European Union,EUU,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,42.50897486,70
72.1961,Finland,FIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,25.2,72
73.1961,Fiji,FJI,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,68.7,73
74.1961,France,FRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,1961,27,74
