CountryName,AverageSubRate,SubPerCapita,SubPercGdp,hash
Venezuela,92.7,1253,10.2,9d4ac4
Qatar,78.5,2853,3.1,83ef3e
Kuwait,78.4,2721,4.9,93295b
Algeria,77.5,551,10.1,bd6acc
Saudi Arabia,77.3,2155,8.3,6f49c3
Iran,77.1,1083,22.9,889224
Libya,76.7,1209,11.1,55949d
Bahrain,67.1,1881,7.8,3ae11c
Turkmenistan,65.7,1593,20.6,1f8dc1
UAE,65,2378,5.6,26c1f8
Egypt,61.2,364,11,1c39ab
Uzbekistan,58.7,406,21.7,db800e
Iraq,53.3,413,6,1aed9e
Ecuador,51.2,365,6.1,09f199
Brunei,50.1,1115,2.9,130e4a
Bolivia,44.1,183,6.5,a001af
Azerbaijan,39.9,279,3.6,213598
Angola,35.9,98,1.7,a42522
Trinidad and Tobago,35.9,803,3.9,4d206a
Bangladesh,33.6,29,3.2,fa6c37
Kazakhstan,32.8,359,2.8,2f36b6
Indonesia,31.3,117,3.3,35536a
Argentina,29.6,323,2.7,354bf9
Ukraine,28.9,226,5.8,c951ec
Nigeria,28.8,38,1.3,9742d0
Pakistan,23,45,3.4,82d220
El Salvador,20.9,79,2,259a6e
Russia,20.5,325,2.2,6754fe
India,19.9,38,2.5,967ce3
Malaysia,15.6,178,1.7,ff3ea3
Mexico,11.9,107,1,41937b
Gabon,8.7,40,0.4,a06dcd
Ghana,8.5,14,0.8,317dba
Thailand,6.7,54,0.9,a2b7c1
Sri Lanka,6.1,15,0.5,197042
Vietnam,4.3,14,0.7,681101
China,2.6,16,0.2,d2eaf2
Chinese Taipei,1.4,24,0.1,fefc81
Korea,0.2,4,0,4e8bd0
