Sort Order,CountryCode,Formal Name,CountryName
1,AFG,Islamic State of Afghanistan,Afghanistan
2,ALB,Republic of Albania,Albania
3,DZA,People's Democratic Republic of Algeria,Algeria
4,AND,Principality of Andorra,Andorra
5,AGO,Republic of Angola,Angola
6,ATG,,Antigua and Barbuda
7,ARG,Argentine Republic,Argentina
8,ARM,Republic of Armenia,Armenia
9,AUS,Commonwealth of Australia,Australia
10,AUT,Republic of Austria,Austria
11,AZE,Republic of Azerbaijan,Azerbaijan
12,BHS,,Bahamas
13,BHR,Kingdom of Bahrain,Bahrain
14,BGD,People's Republic of Bangladesh,Bangladesh
15,BRB,,Barbados
16,BLR,Republic of Belarus,Belarus
17,BEL,Kingdom of Belgium,Belgium
18,BLZ,,Belize
19,BEN,Republic of Benin,Benin
20,BTN,Kingdom of Bhutan,Bhutan
21,BOL,Republic of Bolivia,Bolivia
22,BIH,,Bosnia and Herzegovina
23,BWA,Republic of Botswana,Botswana
24,BRA,Federative Republic of Brazil,Brazil
25,BRN,Negara Brunei Darussalam,Brunei
26,BGR,Republic of Bulgaria,Bulgaria
27,BFA,,Burkina Faso
28,BDI,Republic of Burundi,Burundi
29,KHM,Kingdom of Cambodia,Cambodia
30,CMR,Republic of Cameroon,Cameroon
31,CAN,,Canada
32,CPV,Republic of Cape Verde,Cape Verde
33,CAF,,Central African Republic
34,TCD,Republic of Chad,Chad
35,CHL,Republic of Chile,Chile
36,CHN,,China
37,COL,Republic of Colombia,Colombia
38,COM,Union of Comoros,Comoros
39,COG,Congo (Brazzaville),Congo
40,COD,"Congo, Democratic Republic of the",Congo
41,CRI,Republic of Costa Rica,Costa Rica
42,CIV,Republic of Cote d'Ivoire,Cote d'Ivoire (Ivory Coast)
43,HRV,Republic of Croatia,Croatia
44,CUB,Republic of Cuba,Cuba
45,CYP,Republic of Cyprus,Cyprus
46,CZE,,Czech Republic
47,DNK,Kingdom of Denmark,Denmark
48,DJI,Republic of Djibouti,Djibouti
49,DMA,Commonwealth of Dominica,Dominica
50,DOM,,Dominican Republic
51,ECU,Republic of Ecuador,Ecuador
52,EGY,Arab Republic of Egypt,Egypt
53,SLV,Republic of El Salvador,El Salvador
