CountryName,hash
Algeria,bd6acc
Angola,a42522
Argentina,354bf9
Azerbaijan,213598
Bahrain,3ae11c
Bangladesh,fa6c37
Bolivia,a001af
Brunei,130e4a
China,d2eaf2
Chinese Taipei,fefc81
Ecuador,09f199
Egypt,1c39ab
El Salvador,259a6e
Gabon,a06dcd
Ghana,317dba
India,967ce3
Indonesia,35536a
Iran,889224
Iraq,1aed9e
Kazakhstan,2f36b6
Korea,4e8bd0
Kuwait,93295b
Libya,55949d
Malaysia,ff3ea3
Mexico,41937b
Nigeria,9742d0
Pakistan,82d220
Qatar,83ef3e
Russia,6754fe
Saudi Arabia,6f49c3
Sri Lanka,197042
Thailand,a2b7c1
Trinidad and Tobago,4d206a
Turkmenistan,1f8dc1
UAE,26c1f8
Ukraine,c951ec
Uzbekistan,db800e
Venezuela,9d4ac4
Vietnam,681101
