CountryName,CountryCode
Afghanistan,3
Argentina,7
Brunei Darussalam,29
Bhutan,30
Botswana,31
Chile,36
Colombia,41
Costa Rica,44
Euro area,58
Fiji,64
Guatemala,79
Honduras,83
Indonesia,87
Kenya,100
Kiribati,103
Liberia,110
Lesotho,115
Maldives,125
Middle income,128
Middle East & North Africa (developing only),133
Malaysia,141
Nigeria,146
Nicaragua,147
New Zealand,151
Panama,154
Peru,155
Papua New Guinea,158
Paraguay,163
Pacific island small states,164
South Asia,170
Solomon Islands,175
El Salvador,177
Swaziland,187
Seychelles,189
Tonga,198
Tanzania,203
Uruguay,206
Vanuatu,213
Samoa,215
Zambia,219
Zimbabwe,220
Andorra,2
Angola,3
Austria,4
Burundi,7
Belgium,12
Benin,14
Burkina Faso,15
Bulgaria,16
Bahrain,17
Belarus,19
Bermuda,20
Bolivia,23
Barbados,25
Central African Republic,26
Canada,28
Cote d'Ivoire,29
Cameroon,30
"Congo, Rep.",31
Comoros,32
Cyprus,33
Czech Republic,36
Djibouti,38
Algeria,39
Ecuador,40
"Egypt, Arab Rep.",41
Spain,42
Ethiopia,44
Finland,48
France,49
Gabon,51
United Kingdom,55
Ghana,56
Guinea,57
"Gambia, The",58
Guinea-Bissau,60
Equatorial Guinea,62
Greece,63
Grenada,65
Guyana,68
"Hong Kong SAR, China",69
Hungary,71
India,72
Ireland,73
"Iran, Islamic Rep.",74
Iraq,75
Iceland,76
Italy,77
Jordan,79
Japan,81
Cambodia,82
"Korea, Rep.",86
Kuwait,87
Lao PDR,89
Lebanon,90
Libya,91
Luxembourg,92
"Macao SAR, China",93
Morocco,95
Madagascar,97
Mexico,98
Mali,100
Malta,102
Myanmar,103
Mauritius,105
North America,107
Niger,108
Netherlands,109
Norway,110
Oman,111
Pakistan,115
Portugal,117
Qatar,119
Romania,121
Rwanda,124
Senegal,125
Sierra Leone,126
Somalia,128
Sao Tome and Principe,130
Suriname,131
Sweden,132
Syrian Arab Republic,133
Chad,139
Togo,141
Thailand,142
Trinidad and Tobago,145
Tunisia,146
Turkey,147
St. Vincent and the Grenadines,148
"Venezuela, RB",149
"Congo, Dem. Rep.",151
Antigua and Barbuda,152
Cabo Verde,153
Cuba,154
"Micronesia, Fed. Sts.",155
St. Lucia,162
Malawi,163
Nepal,164
Poland,166
United States,167
United Arab Emirates,169
Bangladesh,170
Dominica,173
Israel,175
Jamaica,176
Mozambique,177
Mongolia,179
Uganda,182
Albania,183
China,186
Sri Lanka,187
Vietnam,189
Switzerland,190
Denmark,192
Saudi Arabia,193
Azerbaijan,194
Georgia,198
Kyrgyz Republic,199
Mauritania,200
Philippines,201
"Bahamas, The",203
St. Kitts and Nevis,206
Belize,209
French Polynesia,210
South Africa,213
American Samoa,218
Moldova,220
Namibia,2
Virgin Islands (U.S.),3
Latvia,4
Germany,7
Estonia,10
Australia,14
Croatia,15
Kazakhstan,17
Lithuania,19
"Macedonia, FYR",20
Slovak Republic,23
Slovenia,25
Ukraine,28
Russian Federation,29
West Bank and Gaza,30
Dominican Republic,31
Aruba,32
Marshall Islands,33
Palau,36
Serbia,38
Tajikistan,39
Uzbekistan,40
"Yemen, Rep.",41
Armenia,43
Sudan,44
Tuvalu,45
Liechtenstein,48
Montenegro,49
Turks and Caicos Islands,55
Timor-Leste,56
Puerto Rico,57
San Marino,58
Curacao,60
Turkmenistan,62
Caribbean small states,63
