CountryName,hash
Australia,ceafb5
Austria,593905
Belgium,5cb4c9
Brazil,37497a
Canada,cd6a7b
Chile,349507
China (People's Republic of),2a2151
Czech Republic,1fef42
Denmark,89da12
Estonia,f0a96d
Finland,c909b1
France,e3772a
Germany,17d53e
Greece,4902a4
Hungary,f14e46
Iceland,b3c92e
Indonesia,35536a
Ireland,eb2131
Israel,4c197d
Italy,ad79ef
Japan,fcf29f
Korea,4e8bd0
Luxembourg,507672
Mexico,41937b
Netherlands,fb61c8
New Zealand,a2238e
Norway,988455
Poland,5ff03b
Portugal,a49519
Russia,6754fe
Slovak Republic,36d711
Slovenia,d1aa05
South Africa,35fda1
Spain,20a8df
Sweden,72ddd2
Switzerland,77dcd8
Turkey,d7153e
United Kingdom,976912
United States,768685
