CountryName,hash
Albania,79b9d2
Algeria,bd6acc
Angola,a42522
Argentina,354bf9
Australia,ceafb5
Austria,593905
Bahrain,3ae11c
Belgium,5cb4c9
Bolivia (Plurinational State of),cfb450
Bosnia and Herzegovina,62ac59
Botswana,180c89
Brazil,37497a
Brunei Darussalam,d1a713
Bulgaria,5c7772
Burkina Faso,e71b56
Cambodia,314ccd
Canada,cd6a7b
Cape Verde,8e4080
Chile,349507
China,d2eaf2
"China, Hong Kong Special Administrative Region",06b978
"China, Macao Special Administrative Region",3d1fee
Congo,77f256
Croatia,d7e045
Cyprus,852add
Czech Republic,1fef42
Denmark,89da12
Ecuador,09f199
Egypt,1c39ab
Estonia,f0a96d
Ethiopia,3d91f7
Faeroe Islands,cbd571
Finland,c909b1
France,e3772a
Gambia,7c3997
Georgia,9113c6
Germany,17d53e
Ghana,317dba
Greece,4902a4
Greenland,1ba0cf
Guam,f8aa3a
Guatemala,11760e
Hungary,f14e46
Iceland,b3c92e
India,967ce3
Indonesia,35536a
Iraq,1aed9e
Ireland,eb2131
Israel,4c197d
Italy,ad79ef
Japan,fcf29f
Jordan,674027
Kazakhstan,2f36b6
Kenya,a84f56
Kuwait,93295b
Lao People's Democratic Republic,21e868
Latvia,c5f5bb
Lesotho,93b12b
Lithuania,74a788
Luxembourg,507672
Madagascar,f92bcb
Malawi,0ce65b
Malaysia,ff3ea3
Mali,daa6a4
Malta,1a591a
Mauritius,26160d
Mexico,41937b
Monaco,35ab1c
Montenegro,479fb3
Morocco,3.20E+88
Morocco,32e087
Mozambique,a40a9b
Myanmar,928b7c
Nepal,0e1d58
Netherlands,fb61c8
New Zealand,a2238e
Nicaragua,481264
Niger,6687e1
Nigeria,9742d0
Norway,988455
Oman,c14c36
Pakistan,82d220
Palestine,05a15c
Panama,1e36b3
Paraguay,71a452
Philippines,806736
Poland,5ff03b
Portugal,a49519
Puerto Rico,fe23c5
Qatar,83ef3e
Republic of Korea,4430b2
Republic of Moldova,d960fa
Romania,d6b897
Russian Federation,c29b4d
Senegal,d8973b
Serbia,6d31bf
Seychelles,3d2d7b
Singapore,20c0b7
Slovakia,b6c149
Slovenia,d1aa05
South Africa,35fda1
Spain,20a8df
Sri Lanka,197042
Sweden,72ddd2
Switzerland,77dcd8
Thailand,a2b7c1
The former Yugoslav Republic of Macedonia,b5c5f8
Togo,30949d
Turkey,d7153e
Uganda,e92904
Ukraine,c951ec
United Arab Emirates,d115b8
United Kingdom of Great Britain and Northern Ireland,f36f9e
United Republic of Tanzania,ddb017
Uruguay,66b989
Uzbekistan,db800e
Viet Nam,53cd19
Zambia,dcf25e
Zimbabwe,5922f5
