CountryName,hash
Australia,ceafb5
Austria,593905
Belgium,5cb4c9
Canada,cd6a7b
Chile,349507
Czech Republic,1fef42
Denmark,89da12
Estonia,f0a96d
Finland,c909b1
France,e3772a
Germany,17d53e
Greece,4902a4
Hungary,f14e46
Iceland,b3c92e
Ireland,eb2131
Israel,4c197d
Italy,ad79ef
Japan,fcf29f
Korea,4e8bd0
Luxembourg,507672
Mexico,41937b
Netherlands,fb61c8
New Zealand,a2238e
Norway,988455
Poland,5ff03b
Portugal,a49519
Slovak Republic,36d711
Slovenia,d1aa05
Spain,20a8df
Sweden,72ddd2
Switzerland,77dcd8
Turkey,d7153e
United Kingdom,976912
United States,768685
