CountryName,CountryCode
Afghanistan,3
Algeria,56
Angola,4
Argentina,7
Armenia,8
Azerbaijan,13
Bangladesh,18
Barbados,28
Belize,24
Benin,16
Bolivia,26
Botswana,31
Brazil,27
Brunei Darussalam,29
Burkina Faso,17
Cabo Verde,43
Cambodia,99
Cameroon,39
Caribbean small states,45
Central African Republic,32
Chad,187
Chile,36
China,37
Colombia,41
"Congo, Rep.",40
Costa Rica,44
Cote d'Ivoire,38
Cuba,46
Djibouti,52
Dominican Republic,55
Ecuador,57
"Egypt, Arab Rep.",58
El Salvador,171
Ethiopia,59
Fiji,61
Gabon,65
"Gambia, The",70
Georgia,67
Ghana,68
Guatemala,76
Guinea,69
Guinea-Bissau,71
Guyana,78
Haiti,82
Honduras,80
India,86
Indonesia,84
"Iran, Islamic Rep.",88
Iraq,89
Jamaica,93
Jordan,94
Kazakhstan,96
Kenya,97
Kiribati,100
"Korea, Dem. Rep.",155
"Korea, Rep.",102
Kuwait,104
Kyrgyz Republic,98
Lao PDR,105
Lebanon,106
Lesotho,112
Liberia,107
Madagascar,121
Malawi,135
Malaysia,136
Maldives,122
Mali,126
Mauritania,133
Mauritius,134
Mexico,123
Mongolia,130
Morocco,118
Mozambique,132
Myanmar,128
Namibia,137
Nepal,144
Nicaragua,141
Niger,139
Nigeria,140
Pacific island small states,158
Pakistan,147
Panama,148
Paraguay,157
Peru,149
Philippines,150
Rwanda,163
Samoa,210
Sao Tome and Principe,177
Saudi Arabia,165
Senegal,167
Sierra Leone,170
Small states,176
Solomon Islands,169
South Africa,212
South Asia,164
Sri Lanka,111
St. Vincent and the Grenadines,204
Suriname,178
Swaziland,182
Tajikistan,190
Tanzania,198
Thailand,189
Timor-Leste,192
Togo,188
Trinidad and Tobago,194
Tunisia,195
Turkey,196
Turkmenistan,191
Uganda,199
United Arab Emirates,6
Uruguay,201
Uzbekistan,203
Vanuatu,208
"Venezuela, RB",205
Vietnam,207
"Yemen, Rep.",211
Zambia,214
Zimbabwe,215
