,CountryName,Year,Value,CountryCode,hash
3.197,Afghanistan,1970,2.24622,3,c69153
7.197,Argentina,1970,47.29669,7,354bf9
29.197,Brunei Darussalam,1970,49.45619,29,d1a713
30.197,Bhutan,1970,0.16186,30,bb2254
31.197,Botswana,1970,5.67764,31,180c89
36.197,Chile,1970,47.94502,36,349507
41.197,Colombia,1970,23.67026,41,2f7373
44.197,Costa Rica,1970,28.17882,44,1bf429
58.197,Euro area,1970,74.96456146,58,a356c2
64.197,Fiji,1970,48.07926,64,bbb7ef
79.197,Guatemala,1970,8.59566,79,11760e
83.197,Honduras,1970,12.14186,83,5aa588
87.197,Indonesia,1970,12.72368,87,35536a
100.197,Kenya,1970,10.40248,100,a84f56
103.197,Kiribati,1970,11.16197,103,3f57ad
110.197,Liberia,1970,4.23338,110,1ed5dd
115.197,Lesotho,1970,12.63391,115,93b12b
125.197,Maldives,1970,1.52466,125,213cb2
128.197,Middle income,1970,23.79840088,128,bf919c
133.197,Middle East & North Africa (developing only),1970,15.71253967,133,aaed09
141.197,Malaysia,1970,27.57166,141,ff3ea3
146.197,Nigeria,1970,2.84936,146,9742d0
147.197,Nicaragua,1970,16.16484,147,481264
151.197,New Zealand,1970,76.13569,151,a2238e
154.197,Panama,1970,39.37405,154,1e36b3
155.197,Peru,1970,31.49869,155,36c572
158.197,Papua New Guinea,1970,3.99852,158,fbaa3c
163.197,Paraguay,1970,15.85084,163,71a452
164.197,Pacific island small states,1970,48.40911865,164,ebe9cb
170.197,South Asia,1970,13.38640022,170,edef51
175.197,Solomon Islands,1970,4.36798,175,ecae78
177.197,El Salvador,1970,19.29783,177,259a6e
187.197,Swaziland,1970,14.01235,187,c985df
189.197,Seychelles,1970,34.98262,189,3d2d7b
198.197,Tonga,1970,86.13126,198,e8a123
203.197,Tanzania,1970,1.52067,203,7e380b
206.197,Uruguay,1970,63.49405,206,66b989
213.197,Vanuatu,1970,5.20522,213,d16ad2
215.197,Samoa,1970,59.1303,215,f56806
219.197,Zambia,1970,8.57967,219,dcf25e
220.197,Zimbabwe,1970,5.81955,220,5922f5
2.1971,Andorra,1971,15.48608,2,9d3bd1
3.1971,Afghanistan,1971,2.36766,3,c69153
4.1971,Angola,1971,5.53213,4,a42522
7.1971,Argentina,1971,48.10374,7,354bf9
12.1971,Austria,1971,83.78539,12,593905
