CountryName,Year,Value,hash
Korea,2000,0.3,4e8bd0
Korea,2001,0.3,4e8bd0
Korea,2002,0.3,4e8bd0
Korea,2003,0.4,4e8bd0
Korea,2004,0.4,4e8bd0
Korea,2005,0.5,4e8bd0
Korea,2006,0.5,4e8bd0
Korea,2007,0.5,4e8bd0
Korea,2008,0.5,4e8bd0
Korea,2011,0.5,4e8bd0
Korea,2012,0.5,4e8bd0
China (People's Republic of),2005,0.6,2a2151
Japan,2012,0.6,fcf29f
Japan,2013,0.6,fcf29f
Japan,2011,0.7,fcf29f
Luxembourg,2013,0.9,507672
Indonesia,2008,1,35536a
Denmark,2012,1.1,89da12
Denmark,2013,1.1,89da12
Indonesia,2007,1.2,35536a
Luxembourg,2012,1.2,507672
Mexico,2003,1.4,41937b
Mexico,2004,1.4,41937b
Mexico,2002,1.5,41937b
Mexico,2011,1.5,41937b
Mexico,2000,1.6,41937b
Italy,2001,1.6,ad79ef
Mexico,2006,1.6,41937b
Mexico,2008,1.6,41937b
Denmark,2011,1.6,89da12
Mexico,2012,1.6,41937b
Italy,2000,1.7,ad79ef
Mexico,2001,1.7,41937b
Mexico,2005,1.7,41937b
Finland,2013,1.7,c909b1
Italy,2002,1.8,ad79ef
Mexico,2007,1.8,41937b
Turkey,2002,1.9,d7153e
Italy,2003,1.9,ad79ef
Turkey,2003,1.9,d7153e
Luxembourg,2009,2,507672
Turkey,2004,2.1,d7153e
Denmark,2010,2.2,89da12
Turkey,2001,2.3,d7153e
Finland,2012,2.3,c909b1
Italy,2012,2.3,ad79ef
Greece,2011,2.4,4902a4
Italy,2011,2.4,ad79ef
Luxembourg,2011,2.4,507672
Italy,2013,2.4,ad79ef
Turkey,2013,2.4,d7153e
Turkey,2011,2.5,d7153e
Turkey,2012,2.5,d7153e
Turkey,2005,2.6,d7153e
Luxembourg,2007,2.6,507672
Luxembourg,2010,2.6,507672
Germany,2012,2.7,17d53e
Greece,2012,2.7,4902a4
Germany,2013,2.7,17d53e
Czech Republic,2011,2.8,1fef42
Austria,2013,2.8,593905
Sweden,2001,2.9,72ddd2
Turkey,2007,2.9,d7153e
Turkey,2010,2.9,d7153e
Austria,2012,2.9,593905
Sweden,2000,3,72ddd2
Sweden,2005,3,72ddd2
Turkey,2006,3,d7153e
Denmark,2008,3,89da12
Austria,2011,3,593905
Slovak Republic,2013,3,36d711
Denmark,2001,3.1,89da12
Sweden,2002,3.1,72ddd2
Sweden,2003,3.1,72ddd2
Czech Republic,2012,3.1,1fef42
Switzerland,2000,3.2,77dcd8
Russia,2000,3.2,6754fe
Switzerland,2001,3.2,77dcd8
Russia,2001,3.2,6754fe
Turkey,2009,3.2,d7153e
Germany,2011,3.2,17d53e
Mexico,2013,3.2,41937b
Spain,2013,3.2,20a8df
Denmark,2002,3.3,89da12
Luxembourg,2002,3.3,507672
Russia,2002,3.3,6754fe
Sweden,2004,3.3,72ddd2
Luxembourg,2008,3.3,507672
Turkey,2008,3.3,d7153e
Denmark,2009,3.3,89da12
Spain,2011,3.3,20a8df
Slovak Republic,2012,3.3,36d711
Spain,2012,3.3,20a8df
Czech Republic,2000,3.4,1fef42
Slovak Republic,2002,3.4,36d711
Germany,2005,3.4,17d53e
Finland,2011,3.4,c909b1
Czech Republic,2013,3.4,1fef42
Brazil,2000,3.5,37497a
Germany,2001,3.5,17d53e
Germany,2002,3.5,17d53e
Germany,2006,3.5,17d53e
Sweden,2006,3.5,72ddd2
Germany,2007,3.5,17d53e
Sweden,2007,3.5,72ddd2
Sweden,2008,3.5,72ddd2
Czech Republic,2010,3.5,1fef42
Greece,2013,3.5,4902a4
Germany,2000,3.6,17d53e
Germany,2003,3.6,17d53e
Denmark,2004,3.6,89da12
Germany,2004,3.6,17d53e
Slovak Republic,2006,3.6,36d711
Germany,2008,3.6,17d53e
Sweden,2009,3.6,72ddd2
Slovak Republic,2011,3.6,36d711
Netherlands,2013,3.6,fb61c8
Norway,2001,3.7,988455
Switzerland,2002,3.7,77dcd8
Switzerland,2004,3.7,77dcd8
Slovak Republic,2008,3.7,36d711
Germany,2009,3.7,17d53e
Sweden,2010,3.7,72ddd2
Denmark,2000,3.8,89da12
Czech Republic,2002,3.8,1fef42
Denmark,2005,3.8,89da12
Luxembourg,2005,3.8,507672
Slovak Republic,2007,3.8,36d711
Germany,2010,3.8,17d53e
Czech Republic,2001,3.9,1fef42
Slovak Republic,2001,3.9,36d711
Czech Republic,2003,3.9,1fef42
Switzerland,2003,3.9,77dcd8
Brazil,2004,3.9,37497a
Israel,2005,3.9,4c197d
Switzerland,2005,3.9,77dcd8
Denmark,2006,3.9,89da12
Luxembourg,2006,3.9,507672
Norway,2007,3.9,988455
Austria,2009,3.9,593905
Sweden,2011,3.9,72ddd2
Iceland,2000,4,b3c92e
Poland,2001,4,5ff03b
Slovenia,2002,4,d1aa05
Brazil,2002,4,37497a
Norway,2008,4,988455
Czech Republic,2009,4,1fef42
Brazil,2003,4.1,37497a
Austria,2004,4.1,593905
Czech Republic,2004,4.1,1fef42
Iceland,2005,4.1,b3c92e
Austria,2010,4.1,593905
Portugal,2010,4.1,a49519
Hungary,2012,4.1,f14e46
Hungary,2013,4.1,f14e46
Slovak Republic,2000,4.2,36d711
Slovak Republic,2003,4.2,36d711
Czech Republic,2005,4.2,1fef42
Norway,2005,4.2,988455
Austria,2007,4.2,593905
Slovenia,2007,4.2,d1aa05
Brazil,2007,4.2,37497a
Portugal,2008,4.2,a49519
Luxembourg,2001,4.3,507672
Poland,2002,4.3,5ff03b
Denmark,2003,4.3,89da12
Israel,2004,4.3,4c197d
Slovak Republic,2005,4.3,36d711
Brazil,2005,4.3,37497a
Switzerland,2006,4.3,77dcd8
Switzerland,2007,4.3,77dcd8
Austria,2008,4.3,593905
Norway,2009,4.3,988455
Slovak Republic,2009,4.3,36d711
Norway,2010,4.3,988455
Norway,2011,4.3,988455
Netherlands,2012,4.3,fb61c8
Sweden,2012,4.3,72ddd2
Sweden,2013,4.3,72ddd2
Luxembourg,2000,4.4,507672
Norway,2000,4.4,988455
Poland,2000,4.4,5ff03b
Poland,2003,4.4,5ff03b
Slovenia,2003,4.4,d1aa05
Czech Republic,2006,4.4,1fef42
Norway,2006,4.4,988455
Brazil,2006,4.4,37497a
Czech Republic,2007,4.4,1fef42
Czech Republic,2008,4.4,1fef42
Switzerland,2008,4.4,77dcd8
Portugal,2009,4.4,a49519
Portugal,2011,4.4,a49519
Norway,2002,4.5,988455
Norway,2003,4.5,988455
Luxembourg,2004,4.5,507672
Norway,2004,4.5,988455
Poland,2004,4.5,5ff03b
Slovenia,2004,4.5,d1aa05
Austria,2005,4.5,593905
Poland,2005,4.5,5ff03b
Austria,2006,4.5,593905
Norway,2012,4.5,988455
Iceland,2001,4.6,b3c92e
Portugal,2001,4.6,a49519
Israel,2006,4.6,4c197d
Denmark,2007,4.6,89da12
Portugal,2007,4.6,a49519
Switzerland,2009,4.6,77dcd8
Norway,2013,4.6,988455
Israel,2000,4.7,4c197d
Slovenia,2000,4.7,d1aa05
Israel,2001,4.7,4c197d
Israel,2002,4.7,4c197d
Slovenia,2006,4.7,d1aa05
Slovak Republic,2010,4.7,36d711
Belgium,2011,4.7,5cb4c9
Netherlands,2011,4.7,fb61c8
Portugal,2012,4.7,a49519
Portugal,2000,4.8,a49519
Finland,2002,4.8,c909b1
Portugal,2002,4.8,a49519
Austria,2003,4.8,593905
Slovak Republic,2004,4.8,36d711
Israel,2007,4.8,4c197d
Slovenia,2001,4.9,d1aa05
Luxembourg,2003,4.9,507672
Portugal,2013,4.9,a49519
Austria,2002,5,593905
Iceland,2002,5,b3c92e
Israel,2003,5,4c197d
Poland,2006,5,5ff03b
Hungary,2011,5,f14e46
Finland,2003,5.1,c909b1
Hungary,2003,5.1,f14e46
Iceland,2003,5.1,b3c92e
Iceland,2004,5.1,b3c92e
Slovenia,2005,5.1,d1aa05
Poland,2007,5.1,5ff03b
Poland,2008,5.1,5ff03b
South Africa,2008,5.1,35fda1
Poland,2009,5.1,5ff03b
Hungary,2000,5.2,f14e46
Russia,2004,5.2,6754fe
Russia,2006,5.2,6754fe
Switzerland,2010,5.2,77dcd8
Poland,2011,5.2,5ff03b
France,2013,5.2,e3772a
Finland,2001,5.3,c909b1
Hungary,2001,5.3,f14e46
Chile,2002,5.3,349507
Hungary,2002,5.3,f14e46
Russia,2003,5.3,6754fe
South Africa,2007,5.3,35fda1
Slovenia,2008,5.3,d1aa05
Russia,2008,5.3,6754fe
Poland,2010,5.3,5ff03b
Ireland,2011,5.3,eb2131
Poland,2012,5.3,5ff03b
Austria,2000,5.4,593905
Finland,2000,5.4,c909b1
Finland,2004,5.4,c909b1
Hungary,2004,5.4,f14e46
Russia,2007,5.4,6754fe
Israel,2008,5.4,4c197d
Poland,2013,5.4,5ff03b
Netherlands,2005,5.5,fb61c8
Spain,2005,5.5,20a8df
Russia,2005,5.5,6754fe
Iceland,2006,5.5,b3c92e
Portugal,2006,5.5,a49519
Hungary,2010,5.5,f14e46
Ireland,2012,5.5,eb2131
Belgium,2013,5.5,5cb4c9
Hungary,2007,5.6,f14e46
Ireland,2013,5.6,eb2131
Austria,2001,5.7,593905
Spain,2006,5.7,20a8df
Switzerland,2011,5.7,77dcd8
South Africa,2013,5.7,35fda1
France,2000,5.8,e3772a
Spain,2003,5.8,20a8df
Spain,2007,5.8,20a8df
Belgium,2012,5.8,5cb4c9
Switzerland,2013,5.8,77dcd8
France,2001,5.9,e3772a
Portugal,2003,5.9,a49519
Spain,2004,5.9,20a8df
Finland,2007,5.9,c909b1
Spain,2008,5.9,20a8df
Estonia,2012,5.9,f0a96d
Switzerland,2012,5.9,77dcd8
France,2003,6,e3772a
Netherlands,2004,6,fb61c8
Hungary,2005,6,f14e46
Finland,2006,6,c909b1
Hungary,2008,6,f14e46
Hungary,2009,6,f14e46
Spain,2009,6,20a8df
France,2002,6.1,e3772a
Finland,2005,6.1,c909b1
Hungary,2006,6.1,f14e46
Netherlands,2006,6.1,fb61c8
Iceland,2007,6.1,b3c92e
Finland,2008,6.1,c909b1
France,2012,6.1,e3772a
France,2004,6.2,e3772a
Slovenia,2009,6.2,d1aa05
Spain,2010,6.2,20a8df
France,2011,6.2,e3772a
Greece,2001,6.3,4902a4
Spain,2002,6.3,20a8df
Iceland,2010,6.3,b3c92e
Italy,2010,6.3,ad79ef
Greece,2003,6.4,4902a4
Finland,2009,6.4,c909b1
Slovenia,2013,6.4,d1aa05
France,2005,6.5,e3772a
Netherlands,2007,6.5,fb61c8
Netherlands,2008,6.5,fb61c8
Finland,2010,6.5,c909b1
Estonia,2013,6.5,f0a96d
Canada,2002,6.6,cd6a7b
Portugal,2004,6.6,a49519
Estonia,2011,6.6,f0a96d
Greece,2000,6.7,4902a4
Spain,2000,6.7,20a8df
Portugal,2005,6.7,a49519
France,2006,6.7,e3772a
Italy,2009,6.7,ad79ef
Netherlands,2009,6.7,fb61c8
Slovenia,2012,6.7,d1aa05
Spain,2001,6.8,20a8df
Greece,2002,6.8,4902a4
Canada,2003,6.8,cd6a7b
France,2007,6.8,e3772a
France,2008,6.8,e3772a
Italy,2008,6.8,ad79ef
France,2009,6.8,e3772a
Netherlands,2010,6.8,fb61c8
Slovenia,2010,6.8,d1aa05
Canada,2001,6.9,cd6a7b
Netherlands,2002,6.9,fb61c8
Iceland,2008,6.9,b3c92e
Slovenia,2011,6.9,d1aa05
Canada,2005,7,cd6a7b
Italy,2007,7,ad79ef
Israel,2013,7,4c197d
Australia,2001,7.1,ceafb5
Greece,2004,7.1,4902a4
Greece,2006,7.1,4902a4
Canada,2007,7.1,cd6a7b
Canada,2008,7.1,cd6a7b
Iceland,2009,7.1,b3c92e
Netherlands,2000,7.2,fb61c8
Australia,2002,7.2,ceafb5
Netherlands,2003,7.2,fb61c8
Canada,2004,7.2,cd6a7b
Greece,2005,7.2,4902a4
Canada,2006,7.2,cd6a7b
Italy,2006,7.2,ad79ef
Greece,2007,7.2,4902a4
France,2010,7.2,e3772a
Australia,2003,7.4,ceafb5
Belgium,2003,7.4,5cb4c9
Italy,2005,7.4,ad79ef
Canada,2000,7.5,cd6a7b
Greece,2010,7.5,4902a4
Iceland,2011,7.5,b3c92e
Netherlands,2001,7.6,fb61c8
Greece,2008,7.6,4902a4
United Kingdom,2011,7.6,976912
Estonia,2003,7.7,f0a96d
Belgium,2004,7.7,5cb4c9
Greece,2009,7.7,4902a4
United Kingdom,2012,7.7,976912
Estonia,2002,7.8,f0a96d
Italy,2004,7.8,ad79ef
United Kingdom,2013,7.8,976912
Belgium,2000,7.9,5cb4c9
Belgium,2002,8,5cb4c9
Australia,2004,8,ceafb5
Belgium,2008,8,5cb4c9
Belgium,2006,8.2,5cb4c9
Estonia,2010,8.2,f0a96d
Estonia,2001,8.3,f0a96d
Australia,2005,8.4,ceafb5
Belgium,2005,8.4,5cb4c9
Estonia,2009,8.4,f0a96d
Iceland,2012,8.4,b3c92e
Australia,2006,8.5,ceafb5
Belgium,2009,8.5,5cb4c9
Belgium,2010,8.5,5cb4c9
Australia,2012,8.5,ceafb5
Australia,2013,8.5,ceafb5
Australia,2000,8.6,ceafb5
Australia,2011,8.6,ceafb5
Estonia,2006,8.7,f0a96d
Australia,2007,8.7,ceafb5
Belgium,2007,8.7,5cb4c9
Estonia,2007,8.7,f0a96d
Iceland,2013,8.7,b3c92e
Belgium,2001,8.8,5cb4c9
Estonia,2008,8.8,f0a96d
Australia,2008,9,ceafb5
United Kingdom,2001,9.1,976912
Estonia,2005,9.3,f0a96d
New Zealand,2004,9.5,a2238e
New Zealand,2005,9.6,a2238e
Estonia,2000,9.8,f0a96d
New Zealand,2003,9.8,a2238e
United Kingdom,2002,9.9,976912
Estonia,2004,9.9,f0a96d
United Kingdom,2003,10.2,976912
United Kingdom,2004,10.4,976912
Ireland,2007,10.4,eb2131
Ireland,2006,10.6,eb2131
New Zealand,2002,10.7,a2238e
New Zealand,2000,10.9,a2238e
