CountryName,Value,hash
Norway,44.8,988455
Finland,43.8,c909b1
Sweden,31.4,72ddd2
France,29.7,e3772a
Luxembourg,27.3,507672
Australia,26.9,ceafb5
Denmark,25,89da12
United Kingdom,22.8,976912
Ireland,21.3,eb2131
Canada,20.8,cd6a7b
United States,20.3,768685
Belgium,18.2,5cb4c9
OECD - Average,18,503c6f
Netherlands,17.5,fb61c8
Switzerland,17.4,77dcd8
South Africa,15.8,35fda1
Italy,15.7,ad79ef
Spain,14.9,20a8df
Czech Republic,14.3,1fef42
Israel,13.3,4c197d
Turkey,12,d7153e
China,8.1,d2eaf2
Brazil,7.4,37497a
India,6.9,967ce3
Russia,6.5,6754fe
Germany,6.1,17d53e
Indonesia,4.5,35536a
Japan,3,fcf29f
Mexico,2.2,41937b
Korea,0.7,4e8bd0
Austria,0,593905
Portugal,0,a49519
