CountryName,Year,Value,hash
Indonesia,2008,2.1,35536a
Mexico,2012,2.1,41937b
Mexico,2008,2.2,41937b
Mexico,2011,2.2,41937b
Mexico,2003,2.3,41937b
Mexico,2004,2.3,41937b
Mexico,2007,2.3,41937b
Mexico,2002,2.5,41937b
Mexico,2005,2.5,41937b
China (People's Republic of),2005,2.5,2a2151
Mexico,2006,2.5,41937b
Mexico,2001,2.6,41937b
Denmark,2012,2.6,89da12
Denmark,2013,2.6,89da12
Mexico,2000,2.7,41937b
Indonesia,2007,2.7,35536a
Korea,2012,2.9,4e8bd0
Korea,2011,3.3,4e8bd0
Japan,2013,3.5,fcf29f
Korea,2000,3.6,4e8bd0
Korea,2008,3.6,4e8bd0
Mexico,2013,3.6,41937b
Korea,2007,3.7,4e8bd0
Luxembourg,2013,3.7,507672
Denmark,2011,3.8,89da12
Japan,2012,3.8,fcf29f
Finland,2013,3.8,c909b1
Korea,2001,3.9,4e8bd0
Korea,2006,3.9,4e8bd0
Japan,2011,3.9,fcf29f
Korea,2005,4,4e8bd0
Luxembourg,2012,4,507672
Korea,2004,4.1,4e8bd0
Italy,2001,4.2,ad79ef
Italy,2002,4.2,ad79ef
Korea,2002,4.2,4e8bd0
Korea,2003,4.3,4e8bd0
Italy,2003,4.4,ad79ef
Italy,2012,4.6,ad79ef
Brazil,2000,4.7,37497a
Italy,2013,4.7,ad79ef
Slovak Republic,2013,4.9,36d711
Italy,2011,5,ad79ef
Finland,2012,5.1,c909b1
Slovak Republic,2012,5.2,36d711
Hungary,2013,5.2,f14e46
Russia,2001,5.3,6754fe
Greece,2011,5.3,4902a4
Russia,2002,5.4,6754fe
Russia,2000,5.5,6754fe
Brazil,2004,5.5,37497a
Brazil,2007,5.5,37497a
Greece,2012,5.5,4902a4
Brazil,2003,5.6,37497a
Brazil,2005,5.7,37497a
Luxembourg,2011,5.7,507672
Hungary,2012,5.7,f14e46
Germany,2012,5.8,17d53e
Austria,2013,5.8,593905
Germany,2013,5.8,17d53e
Italy,2000,5.9,ad79ef
Chile,2002,5.9,349507
Brazil,2002,5.9,37497a
Austria,2012,5.9,593905
Brazil,2006,6,37497a
Spain,2013,6,20a8df
Sweden,2001,6.1,72ddd2
Greece,2013,6.1,4902a4
Sweden,2000,6.2,72ddd2
Luxembourg,2010,6.2,507672
Czech Republic,2011,6.2,1fef42
Turkey,2013,6.2,d7153e
Slovak Republic,2002,6.3,36d711
Sweden,2002,6.3,72ddd2
Hungary,2011,6.3,f14e46
Spain,2011,6.3,20a8df
Spain,2012,6.3,20a8df
Sweden,2005,6.4,72ddd2
Germany,2011,6.4,17d53e
Slovak Republic,2011,6.5,36d711
Luxembourg,2001,6.6,507672
Sweden,2003,6.6,72ddd2
Sweden,2006,6.6,72ddd2
Sweden,2008,6.6,72ddd2
Luxembourg,2009,6.6,507672
Sweden,2011,6.6,72ddd2
Slovak Republic,2007,6.7,36d711
Luxembourg,2008,6.7,507672
Czech Republic,2010,6.7,1fef42
Czech Republic,2012,6.7,1fef42
Sweden,2007,6.8,72ddd2
Austria,2011,6.8,593905
Finland,2011,6.8,c909b1
Poland,2011,6.8,5ff03b
Slovak Republic,2008,6.9,36d711
Sweden,2009,6.9,72ddd2
Slovak Republic,2009,7,36d711
Denmark,2010,7,89da12
Poland,2012,7,5ff03b
Slovak Republic,2003,7.1,36d711
Sweden,2004,7.1,72ddd2
Germany,2005,7.1,17d53e
Slovak Republic,2010,7.1,36d711
Sweden,2012,7.1,72ddd2
Czech Republic,2013,7.1,1fef42
Poland,2013,7.1,5ff03b
Sweden,2013,7.1,72ddd2
Germany,2006,7.2,17d53e
Germany,2007,7.2,17d53e
Slovak Republic,2001,7.3,36d711
Poland,2008,7.3,5ff03b
Norway,2010,7.3,988455
Sweden,2010,7.3,72ddd2
Germany,2000,7.4,17d53e
Poland,2003,7.4,5ff03b
Slovenia,2003,7.4,d1aa05
Poland,2005,7.4,5ff03b
Poland,2006,7.4,5ff03b
Slovak Republic,2006,7.4,36d711
Poland,2007,7.4,5ff03b
Germany,2008,7.4,17d53e
Czech Republic,2009,7.4,1fef42
Poland,2000,7.5,5ff03b
Switzerland,2001,7.5,77dcd8
Germany,2003,7.5,17d53e
Norway,2007,7.5,988455
Slovenia,2007,7.5,d1aa05
Germany,2009,7.5,17d53e
Germany,2010,7.5,17d53e
Turkey,2012,7.5,d7153e
Luxembourg,2000,7.6,507672
Germany,2001,7.6,17d53e
Germany,2002,7.6,17d53e
Poland,2004,7.6,5ff03b
Slovenia,2004,7.6,d1aa05
Norway,2009,7.6,988455
Luxembourg,2002,7.7,507672
Germany,2004,7.7,17d53e
Czech Republic,2005,7.7,1fef42
Luxembourg,2007,7.7,507672
South Africa,2007,7.7,35fda1
Poland,2009,7.7,5ff03b
Poland,2010,7.7,5ff03b
Portugal,2010,7.7,a49519
Iceland,2003,7.8,b3c92e
Slovak Republic,2005,7.8,36d711
Spain,2005,7.8,20a8df
Norway,2006,7.8,988455
Norway,2008,7.8,988455
Slovak Republic,2000,7.9,36d711
Poland,2001,7.9,5ff03b
Czech Republic,2003,7.9,1fef42
Slovenia,2006,7.9,d1aa05
Portugal,2008,7.9,a49519
Portugal,2011,7.9,a49519
Hungary,2002,8,f14e46
Poland,2002,8,5ff03b
Switzerland,2002,8,77dcd8
Russia,2003,8,6754fe
Hungary,2001,8.1,f14e46
Slovak Republic,2004,8.1,36d711
Switzerland,2006,8.1,77dcd8
Russia,2006,8.1,6754fe
Switzerland,2007,8.1,77dcd8
Portugal,2012,8.1,a49519
Switzerland,2000,8.2,77dcd8
Luxembourg,2003,8.2,507672
Switzerland,2003,8.2,77dcd8
Czech Republic,2004,8.2,1fef42
Russia,2004,8.2,6754fe
Slovenia,2005,8.2,d1aa05
Switzerland,2005,8.2,77dcd8
Luxembourg,2006,8.2,507672
Slovenia,2008,8.2,d1aa05
Turkey,2011,8.2,d7153e
Czech Republic,2001,8.3,1fef42
Slovenia,2002,8.3,d1aa05
Spain,2002,8.3,20a8df
Hungary,2003,8.3,f14e46
Spain,2004,8.3,20a8df
Czech Republic,2006,8.3,1fef42
Czech Republic,2007,8.3,1fef42
Czech Republic,2000,8.4,1fef42
Hungary,2000,8.4,f14e46
Iceland,2000,8.4,b3c92e
Spain,2001,8.4,20a8df
Czech Republic,2002,8.4,1fef42
Switzerland,2004,8.4,77dcd8
Russia,2005,8.4,6754fe
Spain,2006,8.4,20a8df
Russia,2007,8.4,6754fe
Czech Republic,2008,8.4,1fef42
Denmark,2008,8.4,89da12
Hungary,2010,8.4,f14e46
Spain,2000,8.5,20a8df
Spain,2003,8.5,20a8df
Portugal,2007,8.5,a49519
Switzerland,2008,8.5,77dcd8
Portugal,2009,8.5,a49519
Norway,2011,8.5,988455
Norway,2012,8.5,988455
France,2013,8.5,e3772a
Norway,2013,8.5,988455
Portugal,2000,8.6,a49519
Portugal,2001,8.6,a49519
Luxembourg,2004,8.6,507672
Hungary,2007,8.6,f14e46
Spain,2007,8.6,20a8df
Russia,2008,8.6,6754fe
Switzerland,2009,8.6,77dcd8
France,2011,8.6,e3772a
France,2012,8.6,e3772a
France,2001,8.7,e3772a
Norway,2005,8.7,988455
Hungary,2006,8.7,f14e46
France,2000,8.8,e3772a
France,2002,8.8,e3772a
Hungary,2008,8.8,f14e46
Austria,2010,8.8,593905
Italy,2010,8.8,ad79ef
Slovenia,2001,8.9,d1aa05
Israel,2005,8.9,4c197d
Hungary,2009,8.9,f14e46
Italy,2009,8.9,ad79ef
Switzerland,2010,8.9,77dcd8
Slovenia,2012,8.9,d1aa05
Hungary,2004,9,f14e46
Luxembourg,2005,9,507672
Spain,2008,9,20a8df
Portugal,2013,9,a49519
Iceland,2004,9.1,b3c92e
Israel,2004,9.1,4c197d
Israel,2006,9.1,4c197d
Italy,2007,9.1,ad79ef
Austria,2008,9.1,593905
Italy,2008,9.1,ad79ef
Austria,2009,9.1,593905
Denmark,2009,9.1,89da12
Netherlands,2012,9.1,fb61c8
Slovenia,2013,9.1,d1aa05
Austria,2004,9.2,593905
Belgium,2011,9.2,5cb4c9
Ireland,2011,9.2,eb2131
Austria,2006,9.3,593905
South Africa,2008,9.3,35fda1
Portugal,2002,9.4,a49519
France,2003,9.4,e3772a
France,2004,9.4,e3772a
France,2005,9.4,e3772a
Slovenia,2011,9.4,d1aa05
Hungary,2005,9.5,f14e46
Italy,2006,9.5,ad79ef
Austria,2007,9.5,593905
Slovenia,2009,9.5,d1aa05
Spain,2009,9.5,20a8df
Spain,2010,9.5,20a8df
Slovenia,2000,9.6,d1aa05
Iceland,2005,9.6,b3c92e
France,2006,9.6,e3772a
Portugal,2006,9.6,a49519
Netherlands,2011,9.6,fb61c8
Switzerland,2011,9.6,77dcd8
Ireland,2013,9.6,eb2131
Netherlands,2013,9.6,fb61c8
Iceland,2001,9.8,b3c92e
Norway,2001,9.8,988455
Israel,2007,9.8,4c197d
France,2008,9.8,e3772a
Austria,2002,9.9,593905
Norway,2004,9.9,988455
Austria,2005,9.9,593905
Italy,2005,9.9,ad79ef
France,2007,9.9,e3772a
Israel,2008,9.9,4c197d
Austria,2000,10,593905
France,2009,10,e3772a
Belgium,2012,10,5cb4c9
Ireland,2012,10,eb2131
Switzerland,2012,10,77dcd8
Denmark,2004,10.1,89da12
Denmark,2001,10.2,89da12
Turkey,2001,10.2,d7153e
Israel,2003,10.2,4c197d
Italy,2004,10.2,ad79ef
Switzerland,2013,10.2,77dcd8
Austria,2003,10.3,593905
Norway,2003,10.3,988455
Denmark,2005,10.3,89da12
Denmark,2007,10.3,89da12
France,2010,10.3,e3772a
Belgium,2013,10.3,5cb4c9
South Africa,2013,10.3,35fda1
Denmark,2000,10.4,89da12
Israel,2001,10.4,4c197d
Iceland,2011,10.4,b3c92e
Austria,2001,10.5,593905
Norway,2002,10.5,988455
Portugal,2003,10.5,a49519
Turkey,2010,10.5,d7153e
Israel,2000,10.6,4c197d
Denmark,2006,10.6,89da12
Denmark,2002,10.7,89da12
Iceland,2002,10.7,b3c92e
Turkey,2002,10.7,d7153e
Canada,2003,10.7,cd6a7b
Denmark,2003,10.7,89da12
Israel,2002,10.8,4c197d
Turkey,2004,10.8,d7153e
Turkey,2008,10.8,d7153e
Turkey,2009,10.8,d7153e
Slovenia,2010,10.8,d1aa05
Canada,2007,10.9,cd6a7b
Turkey,2007,10.9,d7153e
Canada,2001,11,cd6a7b
Greece,2003,11,4902a4
Canada,2004,11,cd6a7b
Canada,2002,11.1,cd6a7b
Portugal,2004,11.1,a49519
Canada,2005,11.1,cd6a7b
Iceland,2006,11.1,b3c92e
Iceland,2010,11.1,b3c92e
Portugal,2005,11.2,a49519
Canada,2006,11.2,cd6a7b
Greece,2001,11.3,4902a4
Canada,2008,11.3,cd6a7b
Finland,2002,11.4,c909b1
Turkey,2003,11.4,d7153e
Canada,2000,11.7,cd6a7b
Norway,2000,11.7,988455
Turkey,2006,11.7,d7153e
Iceland,2012,11.7,b3c92e
Greece,2000,11.8,4902a4
Finland,2003,11.9,c909b1
Greece,2007,11.9,4902a4
Iceland,2008,11.9,b3c92e
Greece,2010,11.9,4902a4
Estonia,2011,11.9,f0a96d
Australia,2002,12,ceafb5
Iceland,2007,12,b3c92e
Greece,2009,12,4902a4
Australia,2001,12.1,ceafb5
Greece,2002,12.1,4902a4
Belgium,2000,12.2,5cb4c9
Australia,2003,12.2,ceafb5
Greece,2005,12.3,4902a4
Turkey,2005,12.3,d7153e
Greece,2006,12.3,4902a4
Finland,2001,12.4,c909b1
Australia,2004,12.4,ceafb5
Greece,2008,12.4,4902a4
Greece,2004,12.5,4902a4
United Kingdom,2011,12.5,976912
Estonia,2012,12.5,f0a96d
Belgium,2002,12.6,5cb4c9
Finland,2004,12.7,c909b1
Australia,2005,12.7,ceafb5
Iceland,2009,12.7,b3c92e
Australia,2011,12.7,ceafb5
Australia,2013,12.7,ceafb5
Estonia,2013,12.7,f0a96d
Israel,2013,12.7,4c197d
Australia,2008,12.8,ceafb5
Australia,2012,12.8,ceafb5
United Kingdom,2012,12.8,976912
Netherlands,2005,13,fb61c8
Australia,2006,13,ceafb5
Belgium,2001,13.1,5cb4c9
Belgium,2003,13.1,5cb4c9
Australia,2007,13.1,ceafb5
Finland,2000,13.3,c909b1
Finland,2005,13.3,c909b1
Finland,2006,13.3,c909b1
Belgium,2008,13.3,5cb4c9
Iceland,2013,13.3,b3c92e
United Kingdom,2013,13.3,976912
Estonia,2002,13.5,f0a96d
Belgium,2007,13.5,5cb4c9
Finland,2008,13.6,c909b1
Belgium,2009,13.6,5cb4c9
Belgium,2010,13.6,5cb4c9
Netherlands,2006,13.7,fb61c8
Australia,2000,13.8,ceafb5
Finland,2007,13.8,c909b1
Netherlands,2007,13.8,fb61c8
Belgium,2004,13.9,5cb4c9
Belgium,2005,13.9,5cb4c9
Netherlands,2008,13.9,fb61c8
Netherlands,2004,14,fb61c8
Belgium,2006,14,5cb4c9
Ireland,2009,14,eb2131
New Zealand,2006,14.1,a2238e
Finland,2010,14.1,c909b1
New Zealand,2002,14.2,a2238e
New Zealand,2004,14.2,a2238e
Netherlands,2009,14.2,fb61c8
Estonia,2001,14.4,f0a96d
New Zealand,2005,14.4,a2238e
Netherlands,2010,14.4,fb61c8
Finland,2009,14.5,c909b1
Estonia,2000,14.6,f0a96d
New Zealand,2000,14.6,a2238e
New Zealand,2003,14.6,a2238e
New Zealand,2007,14.6,a2238e
Ireland,2010,14.7,eb2131
Estonia,2003,14.9,f0a96d
New Zealand,2001,15,a2238e
Estonia,2010,15,f0a96d
Estonia,2008,15.3,f0a96d
New Zealand,2008,15.4,a2238e
United States,2005,15.5,768685
Netherlands,2002,15.7,fb61c8
United States,2003,15.7,768685
United States,2004,15.7,768685
Netherlands,2000,15.8,fb61c8
United States,2007,15.8,768685
United States,2006,15.9,768685
Estonia,2009,16,f0a96d
Estonia,2005,16.1,f0a96d
Netherlands,2001,16.3,fb61c8
United States,2008,16.3,768685
Netherlands,2003,16.5,fb61c8
Estonia,2004,16.6,f0a96d
Estonia,2007,16.6,f0a96d
Estonia,2006,17,f0a96d
United Kingdom,2001,17.2,976912
United Kingdom,2002,17.5,976912
Ireland,2007,17.5,eb2131
Ireland,2006,17.6,eb2131
United Kingdom,2005,17.9,976912
United Kingdom,2003,18,976912
United Kingdom,2004,18,976912
United Kingdom,2006,18.1,976912
United Kingdom,2007,18.2,976912
United Kingdom,2000,18.3,976912
Ireland,2008,18.3,eb2131
United Kingdom,2010,18.3,976912
United Kingdom,2008,18.5,976912
United Kingdom,2009,18.7,976912
Ireland,2005,18.9,eb2131
Ireland,2003,20.8,eb2131
Ireland,2001,21.2,eb2131
Ireland,2002,21.6,eb2131
Ireland,2004,21.6,eb2131
Ireland,2000,21.7,eb2131
