Index,Label,Visibility,DivName,CountryName,Period,ValueB,ValueG
1,1Argentina,visible,argentina,Argentina (urban),2004-2008,11.76,7.7
2,2Argentina,hidden,argentina,Argentina (urban),2004-2013,7.87,4.6
3,3Argentina,hidden,argentina,Argentina (urban),2008-2013,4.86,2.1
4,4Bolivia,visible,bolivia,Bolivia,2002-2008,11.07,4
5,5Bolivia,hidden,bolivia,Bolivia,2002-2013,9.4,4.6
6,6Bolivia,hidden,bolivia,Bolivia,2008-2013,7.42,5.3
7,7Brazil,visible,brazil,Brazil,2003-2008,8.01,4.8
8,8Brazil,hidden,brazil,Brazil,2003-2013,6.77,4.5
9,9Brazil,hidden,brazil,Brazil,2008-2013,5.54,4.3
10,10Chile,visible,chile,Chile,2003-2009,4.45,2.7
11,11Chile,hidden,chile,Chile,2003-2013,4.9,3.3
12,12Chile,hidden,chile,Chile,2009-2013,5.57,4.1
13,13Colombia,visible,colombia,Colombia,2003-2008,2.42,4.3
14,14Colombia,hidden,colombia,Colombia,2003-2013,4.39,4.3
15,15Colombia,hidden,colombia,Colombia,2008-2013,6.4,4.4
16,16Costa Ri,visible,costarica,Costa Rica,2003-2008,5.13,3.4
17,17Costa Ri,hidden,costarica,Costa Rica,2010-2013,1.31,3.1
18,18Dominica,visible,dominicanrepublic,Dominican Republic,2003-2008,2.38,0.3
19,19Dominica,hidden,dominicanrepublic,Dominican Republic,2003-2013,2.4,0.7
20,20Dominica,hidden,dominicanrepublic,Dominican Republic,2008-2013,2.42,1.1
21,21Ecuador,visible,ecuador,Ecuador,2003-2008,7.67,4.5
22,22Ecuador,hidden,ecuador,Ecuador,2003-2013,6.76,3.9
23,23Ecuador,hidden,ecuador,Ecuador,2008-2013,5.85,3.3
24,24El Salva,visible,elsalvador,El Salvador,2004-2008,1.84,0.2
25,25El Salva,hidden,elsalvador,El Salvador,2004-2013,3.19,1.1
26,26El Salva,hidden,elsalvador,El Salvador,2008-2013,4.28,1.9
27,27Guatemal,visible,guatemala,Guatemala,2000-2006,-0.3,0.5
28,28Guatemal,hidden,guatemala,Guatemala,2000-2011,-1.01,-1.8
29,29Guatemal,hidden,guatemala,Guatemala,2006-2011,-1.86,-4.6
30,30Honduras,visible,honduras,Honduras,2003-2008,9.35,5.6
31,31Honduras,hidden,honduras,Honduras,2003-2013,3.05,0.6
32,32Honduras,hidden,honduras,Honduras,2008-2013,-2.9,-4.3
33,33Mexico,visible,mexico,Mexico,2002-2008,2.33,2
34,34Mexico,hidden,mexico,Mexico,2002-2012,1.86,1.1
35,35Mexico,hidden,mexico,Mexico,2008-2012,1.15,-0.2
36,36Nicaragu,visible,nicaragua,Nicaragua,2005-2009,4.79,1
37,37Panama,visible,panama,Panama,2003-2007,4.88,1.3
38,38Panama,hidden,panama,Panama,2008-2013,4.49,3.8
39,39Paraguay,visible,paraguay,Paraguay,2003-2008,4.25,1
40,40Paraguay,hidden,paraguay,Paraguay,2003-2013,6.04,3.7
41,41Paraguay,hidden,paraguay,Paraguay,2008-2013,7.86,6.4
42,42Peru,visible,peru,Peru,2004-2008,7.15,5.3
43,43Peru,hidden,peru,Peru,2004-2013,6.85,4.4
44,44Peru,hidden,peru,Peru,2008-2013,6.6,3.7
45,45Uruguay ,visible,uruguay,Uruguay (urban),2003-2008,5.58,6
46,46Uruguay ,hidden,uruguay,Uruguay (urban),2003-2013,5.78,4.7
47,47Uruguay ,hidden,uruguay,Uruguay (urban),2008-2013,5.98,3.5
