CountryName,Year,Value,hash
Lesotho,2011,7,93b12b
Myanmar,1997,11,928b7c
Lesotho,2002,14,93b12b
Lesotho,2003,14,93b12b
Mozambique,2009,15,a40a9b
Myanmar,1998,16,928b7c
Lesotho,2004,27,93b12b
Cambodia,2002,39,314ccd
Togo,2006,40,30949d
Togo,2004,42,30949d
Togo,2003,44,30949d
Niger,2005,44,6687e1
Niger,2003,45,6687e1
Niger,2004,46,6687e1
Lao People's Democratic Republic,2002,49,21e868
Niger,2002,49,6687e1
Mali,2006,50,daa6a4
Niger,2001,52,6687e1
Lesotho,2009,53,93b12b
Togo,2007,54,30949d
Togo,2005,56,30949d
Bahrain,2009,56,3ae11c
Mali,2010,56,daa6a4
Bahrain,2012,56,3ae11c
Guatemala,2011,57,11760e
Myanmar,1999,59,928b7c
Guatemala,2010,59,11760e
Guatemala,2012,60,11760e
Bahrain,2010,61,3ae11c
Uganda,2010,61,e92904
Madagascar,2000,63,f92bcb
Guatemala,2006,64,11760e
Ghana,2007,64,317dba
United Republic of Tanzania,2010,64,ddb017
Guatemala,2005,65,11760e
Ethiopia,2005,67,3d91f7
Mozambique,2008,68,a40a9b
Togo,2011,68,30949d
Togo,2012,68,30949d
Bahrain,2013,68,3ae11c
Togo,2010,69,30949d
Congo,2000,70,77f256
Mozambique,2006,70,a40a9b
Madagascar,1999,73,f92bcb
Bahrain,2011,73,3ae11c
Congo,1999,75,77f256
Ethiopia,2007,75,3d91f7
Cape Verde,2011,75,8e4080
Nigeria,2007,77,9742d0
Madagascar,1998,79,f92bcb
Paraguay,2011,79,71a452
Guatemala,2009,81,11760e
Congo,1998,82,77f256
Ecuador,2007,84,09f199
Madagascar,2011,84,f92bcb
Madagascar,2010,85,f92bcb
Madagascar,2009,88,f92bcb
Ecuador,2006,89,09f199
Mozambique,2010,89,a40a9b
Myanmar,2001,91,928b7c
Madagascar,2006,91,f92bcb
Madagascar,2008,91,f92bcb
Congo,1997,92,77f256
Bolivia (Plurinational State of),2000,92,cfb450
Madagascar,2005,92,f92bcb
Madagascar,2007,92,f92bcb
Angola,2011,93,a42522
Ethiopia,2010,95,3d91f7
Congo,1996,96,77f256
Madagascar,2004,96,f92bcb
Guatemala,2007,97,11760e
Bolivia (Plurinational State of),1998,98,cfb450
Bolivia (Plurinational State of),1999,98,cfb450
Madagascar,2003,98,f92bcb
Guatemala,2008,98,11760e
Madagascar,2002,102,f92bcb
Nicaragua,1997,103,481264
Philippines,2007,105,806736
Paraguay,2005,106,71a452
Madagascar,2001,107,f92bcb
Philippines,2005,109,806736
Paraguay,2008,110,71a452
Philippines,2003,113,806736
Malawi,2010,116,0ce65b
Zimbabwe,2012,120,5922f5
Malawi,2007,121,0ce65b
Ethiopia,2013,122,3d91f7
Kenya,2007,123,a84f56
Ghana,2010,124,317dba
Bolivia (Plurinational State of),2002,126,cfb450
Bolivia (Plurinational State of),2001,129,cfb450
Burkina Faso,2010,131,e71b56
Ecuador,2008,133,09f199
Viet Nam,2002,139,53cd19
Panama,2009,149,1e36b3
Palestine,2007,151,05a15c
Ecuador,1997,152,09f199
Myanmar,2002,152,928b7c
Ecuador,1998,155,09f199
Bosnia and Herzegovina,2003,161,62ac59
Zambia,2008,162,dcf25e
Thailand,1996,170,a2b7c1
Palestine,2008,174,05a15c
Bosnia and Herzegovina,2004,180,62ac59
Bosnia and Herzegovina,2005,191,62ac59
Ecuador,1996,197,09f199
Paraguay,2003,199,71a452
Paraguay,2002,201,71a452
Zambia,1999,204,dcf25e
Zambia,1996,206,dcf25e
Zambia,1998,208,dcf25e
Malaysia,1996,209,ff3ea3
Paraguay,2004,211,71a452
Zambia,1997,212,dcf25e
Paraguay,2001,213,71a452
Ecuador,2009,216,09f199
Algeria,2005,220,bd6acc
Sri Lanka,2006,229,197042
Thailand,1997,232,a2b7c1
Sri Lanka,1996,233,197042
Bolivia (Plurinational State of),2009,236,cfb450
Uruguay,1999,239,66b989
Indonesia,2001,240,35536a
Kuwait,2012,241,93295b
Panama,2011,243,1e36b3
Bolivia (Plurinational State of),2010,252,cfb450
Albania,2008,262,79b9d2
Kuwait,2011,262,93295b
Nepal,2002,265,0e1d58
Indonesia,2000,266,35536a
Kuwait,2010,271,93295b
Oman,2013,274,c14c36
Bosnia and Herzegovina,2012,277,62ac59
Sri Lanka,2008,281,197042
Sri Lanka,2004,283,197042
Sri Lanka,2010,283,197042
Kuwait,2009,284,93295b
Pakistan,1997,285,82d220
Senegal,2006,285,d8973b
Panama,2004,289,1e36b3
Cape Verde,2001,291,8e4080
Palestine,2009,295,05a15c
Malaysia,1998,298,ff3ea3
Kuwait,2008,299,93295b
Senegal,2007,300,d8973b
India,2000,302,967ce3
Panama,1996,303,1e36b3
Ecuador,2011,303,09f199
