CountryName,Year,Value,hash
Gambia,2009,4.9,7c3997
Pakistan,2005,5.8,82d220
Gambia,2008,5.8,7c3997
Togo,2010,10.3,30949d
Pakistan,2007,10.7,82d220
Pakistan,2009,10.7,82d220
Pakistan,2011,10.8,82d220
Togo,2012,11.2,30949d
Togo,2011,11.4,30949d
India,1998,12.2,967ce3
Mali,2006,12.4,daa6a4
Senegal,2007,12.4,d8973b
Senegal,2006,12.6,d8973b
Republic of Korea,1998,13.3,4430b2
India,2000,13.9,967ce3
India,2010,15,967ce3
Ethiopia,2005,15.5,3d91f7
Pakistan,2013,15.9,82d220
Mali,2010,16.3,daa6a4
India,2005,16.5,967ce3
Malawi,2010,17.7,0ce65b
Sweden,2003,18.1,72ddd2
Oman,2012,19.8,c14c36
Malawi,2007,20.2,0ce65b
Luxembourg,2005,20.5,507672
Ghana,2010,21.2,317dba
Ghana,2007,21.7,317dba
Greenland,2004,21.9,1ba0cf
Austria,2002,22,593905
Austria,1998,22.2,593905
Guatemala,2005,22.4,11760e
Oman,2011,22.4,c14c36
Oman,2013,22.5,c14c36
"China, Macao Special Administrative Region",2001,22.6,3d1fee
Cambodia,2002,22.6,314ccd
Israel,2011,22.7,4c197d
"China, Macao Special Administrative Region",2004,22.9,3d1fee
Kenya,2007,22.9,a84f56
Ethiopia,2013,22.9,3d91f7
"China, Macao Special Administrative Region",2003,23,3d1fee
Guatemala,2006,23.2,11760e
Austria,2006,23.5,593905
Austria,2004,23.6,593905
Germany,1997,23.7,17d53e
Austria,2007,23.7,593905
France,2010,23.7,e3772a
Malta,2007,23.8,1a591a
Germany,1999,24,17d53e
Senegal,2008,24.3,d8973b
Malta,2011,24.4,1a591a
Austria,2011,24.7,593905
Austria,2009,24.9,593905
Malta,2010,24.9,1a591a
Malta,2005,25,1a591a
Germany,2001,25.2,17d53e
Senegal,2010,25.2,d8973b
Germany,2003,25.3,17d53e
Malta,2006,25.3,1a591a
Germany,2005,25.7,17d53e
"China, Macao Special Administrative Region",2002,25.8,3d1fee
Germany,2007,25.9,17d53e
Malta,2008,25.9,1a591a
Malta,2009,26.3,1a591a
Burkina Faso,2010,26.3,e71b56
Malta,2004,26.5,1a591a
Nigeria,2007,26.6,9742d0
Netherlands,2011,26.7,fb61c8
Germany,2009,26.8,17d53e
Malta,2012,26.8,1a591a
Qatar,2012,26.9,83ef3e
Zimbabwe,2012,27.2,5922f5
Germany,2011,27.4,17d53e
Belgium,2000,27.5,5cb4c9
Faeroe Islands,2003,27.5,cbd571
Sweden,1997,27.6,72ddd2
Malaysia,1998,27.6,ff3ea3
Uganda,2010,27.7,e92904
Belgium,2001,27.8,5cb4c9
United Republic of Tanzania,2010,27.9,ddb017
Angola,2011,27.9,a42522
Greenland,2002,28.4,1ba0cf
Ireland,2002,28.4,eb2131
Morocco,2008,28.6,32e087
Sweden,1999,28.7,72ddd2
Luxembourg,2009,28.8,507672
Sweden,2001,29,72ddd2
Sweden,2005,29.1,72ddd2
Ireland,2003,29.2,eb2131
Sweden,2007,29.2,72ddd2
"China, Macao Special Administrative Region",2005,29.3,3d1fee
Sweden,2009,29.3,72ddd2
Morocco,2006,29.4,32e087
Ireland,2004,29.5,eb2131
Ireland,2005,29.5,eb2131
Mauritius,2012,29.5,26160d
Greenland,2003,29.6,1ba0cf
France,2011,29.6,e3772a
Turkey,2011,29.6,d7153e
Belgium,2002,29.7,5cb4c9
France,2012,29.7,e3772a
Turkey,2010,29.8,d7153e
Morocco,2007,29.9,32e087
Sweden,2011,29.9,72ddd2
Czech Republic,2011,30.1,1fef42
Czech Republic,2012,30.1,1fef42
Turkey,2012,30.1,d7153e
Turkey,2009,30.2,d7153e
Belgium,2003,30.3,5cb4c9
Turkey,2013,30.3,d7153e
Malaysia,2000,30.4,ff3ea3
Turkey,2008,30.5,d7153e
Czech Republic,2010,30.5,1fef42
Ireland,2011,30.5,eb2131
Czech Republic,2004,30.6,1fef42
Ireland,2006,30.6,eb2131
Denmark,1997,30.8,89da12
Turkey,2006,30.8,d7153e
Turkey,2007,30.8,d7153e
Chile,2007,30.9,349507
Czech Republic,2008,30.9,1fef42
Czech Republic,2009,31,1fef42
Morocco,2011,31,32e087
Belgium,2004,31.2,5cb4c9
Madagascar,2005,31.2,f92bcb
Turkey,2005,31.2,d7153e
Guatemala,2007,31.2,11760e
Chile,2008,31.3,349507
Madagascar,2009,31.3,f92bcb
Madagascar,2003,31.4,f92bcb
Ireland,2008,31.4,eb2131
Madagascar,2008,31.4,f92bcb
Turkey,2002,31.5,d7153e
Czech Republic,2006,31.5,1fef42
Guatemala,2008,31.6,11760e
Czech Republic,2003,31.7,1fef42
Madagascar,2006,31.8,f92bcb
Czech Republic,2007,31.8,1fef42
Madagascar,2002,31.9,f92bcb
Belgium,2005,31.9,5cb4c9
Ireland,2007,31.9,eb2131
Madagascar,2001,32,f92bcb
Belgium,2006,32,5cb4c9
Belgium,2007,32,5cb4c9
Madagascar,2007,32,f92bcb
Morocco,2010,32.1,32e087
Turkey,2003,32.5,d7153e
Spain,1997,32.6,20a8df
Czech Republic,2002,32.6,1fef42
Czech Republic,2005,32.6,1fef42
Spain,1999,32.7,20a8df
Turkey,2004,32.9,d7153e
Italy,2003,33,ad79ef
Ireland,2009,33,eb2131
Ireland,2010,33.1,eb2131
Czech Republic,2000,33.2,1fef42
Malaysia,2002,33.2,ff3ea3
Sri Lanka,2004,33.2,197042
Denmark,1999,33.3,89da12
Czech Republic,2001,33.3,1fef42
"China, Macao Special Administrative Region",2006,33.3,3d1fee
Sri Lanka,2008,33.3,197042
Algeria,2005,33.4,bd6acc
Kuwait,2007,33.4,93295b
Belgium,2008,33.5,5cb4c9
Lesotho,2011,33.6,93b12b
Spain,2001,33.7,20a8df
Italy,2004,33.7,ad79ef
Italy,2008,33.7,ad79ef
Belgium,2009,33.7,5cb4c9
Mozambique,2010,33.7,a40a9b
Belgium,2011,33.9,5cb4c9
Cyprus,1998,34.2,852add
Turkey,2001,34.2,d7153e
Belgium,2010,34.2,5cb4c9
South Africa,2001,34.3,35fda1
Denmark,2009,34.4,89da12
Italy,2010,34.4,ad79ef
Italy,2009,34.5,ad79ef
Italy,2011,34.5,ad79ef
Slovenia,2012,34.6,d1aa05
Greenland,2001,34.7,1ba0cf
Denmark,2007,34.7,89da12
Greece,2003,34.8,4902a4
