CountryName,Year,Value,hash
AFG,1995,14.5,fa9f93
ALB,1995,53.2,d067d2
DZA,1995,11.5,5787a1
AGO,1995,68.9,caeadd
ARG,1995,41.2,8bf4bf
ARM,1995,58.9,29d8de
AUS,1995,53.8,81a7b3
AUT,1995,48.3,e539ae
AZE,1995,56.2,41d7e7
BHS,1995,67.8,1f88e7
BHR,1995,31.6,c0963f
BGD,1995,58.3,e52db8
BRB,1995,62.9,32e2c6
BLR,1995,55.8,506515
BEL,1995,40.4,a9bd23
BLZ,1995,35.9,c4b361
BEN,1995,60,4c0c27
BTN,1995,46.7,642bc8
BOL,1995,55.1,08f410
BIH,1995,35.6,12ece2
BWA,1995,68.2,807dd2
BRA,1995,54.2,27b200
BRN,1995,50.3,7ee447
BGR,1995,50.6,b3a223
BFA,1995,76.8,0c8870
BDI,1995,88,f1812c
KHM,1995,76.6,3fcf6d
CMR,1995,60.1,3cd9ab
CAN,1995,56.8,aa884a
CPV,1995,44,7e12c2
CAF,1995,70.3,61b7b5
TCD,1995,64.6,3a05da
CHL,1995,34.6,e344cf
CHN,1995,72.2,02609c
COL,1995,36,b65d7c
COM,1995,28.9,682bd8
COG,1995,62.5,4c5bcf
CRI,1995,35.8,421d36
CIV,1995,46.5,12d1f0
HRV,1995,45.8,49a6fe
CUB,1995,36.9,23a196
CYP,1995,41.7,be2da6
CZE,1995,52.2,8a6e18
PRK,1995,75.6,af15e3
COD,1995,69.8,eef1f2
DNK,1995,57.9,d2310a
DJI,1995,29.4,2c702b
DOM,1995,44.8,61f6f4
ECU,1995,44.6,9db34b
EGY,1995,20.7,478e62
SLV,1995,42.6,015eea
GNQ,1995,80.5,6d5329
ERI,1995,72.5,057f62
EST,1995,53.8,e56d6e
ETH,1995,71.9,edf343
FJI,1995,37.6,72412c
FIN,1995,55,2081fe
FRA,1995,47.8,21408a
GAB,1995,55.2,8433a2
GMB,1995,70,887d35
GEO,1995,58.9,e9602b
DEU,1995,47.7,11a7a5
GHA,1995,71.1,52af54
GRC,1995,36.6,c97496
GTM,1995,41.1,afd3f2
GIN,1995,63.8,7c02ce
GNB,1995,59.6,096834
GUY,1995,38.3,be1aba
HTI,1995,57.2,8ed3e4
