CountryName,CountryCode,1990,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
Afghanistan,AFG,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,..,..,,
Albania,ALB,28.8,28.1,28.5,28.5,28.4,28.4,28.3,28.3,28.3,28.2,..,..,,
Algeria,DZA,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,..,..,,
Samoa,WSM,92.0,90.3,89.3,89.1,88.9,88.8,88.6,88.4,88.2,88.1,..,..,,
Andorra,null,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,..,..,,
Angola,AGO,48.9,47.9,47.3,47.2,47.1,47.0,46.9,46.8,46.7,46.6,..,..,,
Antigua and Barbuda,null,23.4,22.7,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,..,..,,
Argentina,ARG,12.7,11.6,10.9,10.8,10.7,10.6,10.4,10.3,10.2,10.1,..,..,,
Armenia,ARM,12.2,11.7,11.7,11.6,11.6,11.6,11.6,11.6,11.6,11.6,..,..,,
Aruba,null,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,..,..,,
Australia,AUS,16.7,16.8,16.5,16.4,16.3,16.2,16.0,16.1,16.1,16.2,..,..,,
Austria,AUT,45.7,46.5,46.7,46.7,46.7,46.7,46.8,46.8,46.8,46.8,..,..,,
Azerbaijan,AZE,11.2,10.6,10.9,11.3,11.6,11.9,12.2,12.5,12.8,13.1,..,..,,
The Bahamas,BHS,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,..,..,,
Bahrain,null,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,..,..,,
Bangladesh,BGD,11.5,11.3,11.2,11.1,11.1,11.1,11.1,11.1,11.0,11.0,..,..,,
Barbados,null,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,..,..,,
Belarus,BLR,38.4,40.8,41.7,41.8,41.9,42.0,42.1,42.2,42.3,42.4,..,..,,
Belgium,BEL,..,22.0,22.3,22.4,22.4,22.5,22.5,22.5,22.5,22.5,..,..,,
Belize,BLZ,70.8,64.0,61.9,61.7,61.4,61.2,61.0,60.8,60.6,60.3,..,..,,
Benin,BEN,51.1,44.9,42.2,41.8,41.3,40.9,40.4,40.0,39.6,39.1,..,..,,
Bermuda,null,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,..,..,,
Bhutan,BTN,53.7,65.5,69.9,70.2,70.5,70.7,71.0,71.2,71.5,71.8,..,..,,
Bolivia,BOL,58.0,55.5,53.8,53.3,52.8,52.4,51.9,51.6,51.4,51.1,..,..,,
Bosnia and Herzegovina,BIH,43.3,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,..,..,,
Botswana,BWA,24.2,22.1,20.9,20.7,20.4,20.2,20.0,19.8,19.7,19.5,..,..,,
Brazil,BRA,65.4,62.4,60.4,60.2,60.0,59.8,59.6,59.5,59.4,59.3,..,..,,
Brunei,BRN,78.4,75.3,73.5,73.1,72.8,72.4,72.1,72.1,72.1,72.1,..,..,,
Bulgaria,BGR,30.1,30.5,33.8,33.9,34.1,34.3,34.4,34.6,34.7,34.9,..,..,,
Burkina Faso,BFA,25.0,22.8,21.5,21.3,21.1,20.9,20.6,20.4,20.2,20.0,..,..,,
Burundi,BDI,11.3,7.7,7.6,8.2,8.7,9.3,9.9,10.0,10.2,10.4,..,..,,
Cabo Verde,null,14.3,20.4,20.8,20.9,21.0,21.0,21.1,21.4,21.6,21.8,..,..,,
Cambodia,KHM,73.3,65.4,60.1,59.3,58.6,57.9,57.2,56.5,55.7,55.0,..,..,,
Cameroon,CMR,51.4,46.8,44.0,43.5,43.1,42.6,42.1,41.7,41.2,40.7,..,..,,
Canada,CAN,38.3,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,..,..,,
Cayman Islands,null,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,..,..,,
Central African Republic,CAF,36.2,36.0,35.8,35.8,35.8,35.7,35.7,35.7,35.7,35.6,..,..,,
Chad,TCD,5.3,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,..,..,,
Channel Islands,null,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,..,..,,
