x,y
1961,159.07631
1961.684,157.0304
1962.367,154.98214
1963.051,152.92918
1963.734,150.86917
1964.418,148.79976
1965.101,146.7186
1965.785,144.62333
1966.468,142.51161
1967.152,140.38109
1967.835,138.23091
1968.519,136.06327
1969.203,133.88079
1969.886,131.68606
1970.57,129.48168
1971.253,127.27026
1971.937,125.05439
1972.62,122.83669
1973.304,120.61976
1973.987,118.40646
1974.671,116.19994
1975.354,114.00337
1976.038,111.81992
1976.722,109.65274
1977.405,107.50502
1978.089,105.37991
1978.772,103.28058
1979.456,101.2102
1980.139,99.17199
1980.823,97.16921
1981.506,95.20509
1982.19,93.28288
1982.873,91.40585
1983.557,89.57722
1984.241,87.80027
1984.924,86.07822
1985.608,84.41361
1986.291,82.80481
1986.975,81.24879
1987.658,79.74251
1988.342,78.28293
1989.025,76.86702
1989.709,75.49171
1990.392,74.15399
1991.076,72.85081
1991.759,71.57883
1992.443,70.33389
1993.127,69.11168
1993.81,67.90788
1994.494,66.71819
1995.177,65.53828
1995.861,64.36384
1996.544,63.19057
1997.228,62.01417
1997.911,60.83217
1998.595,59.6449
1999.278,58.45294
1999.962,57.25686
2000.646,56.05723
2001.329,54.85463
2002.013,53.64962
2002.696,52.44279
2003.38,51.23472
2004.063,50.02622
2004.747,48.81834
2005.43,47.6121
2006.114,46.40854
2006.797,45.2087
2007.481,44.01361
2008.165,42.8243
2008.848,41.64182
2009.532,40.46703
2010.215,39.29962
2010.899,38.13865
2011.582,36.98321
2012.266,35.83238
2012.949,34.68524
2013.633,33.54085
2014.316,32.39831
2015,31.25669
