CountryName,Year,Value,hash
Turkey,1970,8.565,d7153e
Turkey,1974,10.503,d7153e
Turkey,1965,10.565,d7153e
Turkey,1984,10.654,d7153e
Turkey,1966,10.678,d7153e
Turkey,1972,11.109,d7153e
Turkey,1968,11.275,d7153e
Turkey,1967,11.413,d7153e
Turkey,1985,11.482,d7153e
Turkey,1973,11.611,d7153e
Turkey,1976,11.657,d7153e
Turkey,1979,11.811,d7153e
Turkey,1975,11.962,d7153e
Korea,1973,11.979,4e8bd0
Turkey,1971,12.171,d7153e
Turkey,1969,12.195,d7153e
Turkey,1978,12.343,d7153e
Korea,1972,12.412,4e8bd0
Turkey,1977,12.46,d7153e
Turkey,1983,12.778,d7153e
Turkey,1986,13.035,d7153e
Korea,1974,13.095,4e8bd0
Turkey,1988,13.243,d7153e
Spain,1966,13.254,20a8df
Turkey,1980,13.407,d7153e
Turkey,1982,13.7,d7153e
Turkey,1989,13.893,d7153e
Turkey,1987,14.003,d7153e
Mexico,1981,14.091,41937b
Turkey,1981,14.17,d7153e
Spain,1965,14.294,20a8df
Mexico,1982,14.35,41937b
Mexico,1986,14.483,41937b
Mexico,1980,14.487,41937b
Mexico,1998,14.84,41937b
Mexico,1988,14.851,41937b
Korea,1975,14.896,4e8bd0
Turkey,1990,14.897,d7153e
Mexico,1995,14.919,41937b
Mexico,1996,14.978,41937b
Mexico,1985,15.18,41937b
Mexico,1989,15.4,41937b
Korea,1986,15.402,4e8bd0
Mexico,1987,15.403,41937b
Mexico,1994,15.439,41937b
Mexico,1991,15.458,41937b
Spain,1970,15.501,20a8df
Mexico,1990,15.508,41937b
Mexico,1999,15.525,41937b
Mexico,1984,15.563,41937b
Korea,1988,15.569,4e8bd0
Turkey,1991,15.614,d7153e
Spain,1968,15.637,20a8df
Mexico,1997,15.643,41937b
Portugal,1965,15.668,a49519
Korea,1987,15.668,4e8bd0
Spain,1971,15.76,20a8df
Korea,1985,15.779,4e8bd0
Mexico,1992,15.805,41937b
Mexico,1993,15.833,41937b
Spain,1969,15.998,20a8df
Mexico,1983,16.01,41937b
Portugal,1966,16.068,a49519
Korea,1977,16.163,4e8bd0
Korea,1984,16.166,4e8bd0
Mexico,2002,16.176,41937b
Korea,1976,16.216,4e8bd0
Korea,1989,16.332,4e8bd0
Spain,1967,16.458,20a8df
Turkey,1994,16.545,d7153e
Mexico,2000,16.545,41937b
Switzerland,1965,16.554,77dcd8
Korea,1978,16.566,4e8bd0
Spain,1974,16.631,20a8df
Spain,1972,16.638,20a8df
Turkey,1992,16.686,d7153e
Portugal,1967,16.723,a49519
Portugal,1973,16.725,a49519
Portugal,1968,16.765,a49519
Korea,1981,16.781,4e8bd0
Turkey,1995,16.785,d7153e
Mexico,2001,16.802,41937b
Mexico,2004,16.846,41937b
Turkey,1993,16.865,d7153e
Korea,1979,16.875,4e8bd0
Korea,1980,16.941,4e8bd0
Chile,1990,16.955,349507
Korea,1982,16.968,4e8bd0
Mexico,2003,17.051,41937b
Greece,1965,17.069,4902a4
Portugal,1972,17.12,a49519
Portugal,1974,17.134,a49519
Mexico,2009,17.162,41937b
Switzerland,1966,17.172,77dcd8
Switzerland,1967,17.175,77dcd8
