CountryName,Year,Value,hash
Argentina,1986,0,ARG
Jordan,1986,0,JOR
Argentina,1987,0,ARG
Czech Republic,1988,0,CZE
Kyrgyz Republic,1988,0,KGZ
Slovak Republic,1988,0,SVK
Bulgaria,1992,0,BGR
Slovak Republic,1992,0,SVK
Czech Republic,1993,0,CZE
Latvia,1993,0,LVA
Latvia,1995,0,LVA
Lithuania,1996,0,LTU
Croatia,1998,0,HRV
Hungary,1998,0,HUN
Latvia,1998,0,LVA
"Macedonia, FYR",1998,0,MKD
Poland,1998,0,POL
Seychelles,1999,0,SYC
Hungary,2000,0,HUN
Hungary,2001,0,HUN
Hungary,2002,0,HUN
Hungary,2003,0,HUN
Azerbaijan,2004,0,AZE
Croatia,2004,0,HRV
Romania,2004,0,ROU
Azerbaijan,2005,0,AZE
Czech Republic,2005,0,CZE
Hungary,2005,0,HUN
Romania,2005,0,ROU
Romania,2006,0,ROU
Slovak Republic,2006,0,SVK
Belarus,2007,0,BLR
Malaysia,2007,0,MYS
Romania,2007,0,ROU
Belarus,2008,0,BLR
Croatia,2008,0,HRV
Latvia,2008,0,LVA
Romania,2008,0,ROU
Russian Federation,2008,0,RUS
Slovak Republic,2008,0,SVK
Ukraine,2008,0,UKR
Montenegro,2009,0,MNE
Malaysia,2009,0,MYS
Poland,2009,0,POL
Romania,2009,0,ROU
Slovak Republic,2009,0,SVK
Belarus,2010,0,BLR
Montenegro,2010,0,MNE
Poland,2010,0,POL
Romania,2010,0,ROU
Ukraine,2010,0,UKR
Belarus,2011,0,BLR
Poland,2011,0,POL
Romania,2011,0,ROU
Romania,2012,0,ROU
Poland,2006,0.01,POL
Kazakhstan,2008,0.01,KAZ
Poland,2008,0.01,POL
Belarus,2009,0.01,BLR
Kazakhstan,1988,0.02,KAZ
Latvia,1988,0.02,LVA
Belarus,1993,0.02,BLR
Hungary,1999,0.02,HUN
Azerbaijan,2002,0.02,AZE
Poland,2002,0.02,POL
Kazakhstan,2005,0.02,KAZ
Poland,2007,0.02,POL
Poland,1992,0.03,POL
Ukraine,1992,0.03,UKR
Hungary,2008,0.03,HUN
Czech Republic,2009,0.03,CZE
Russian Federation,2009,0.03,RUS
Czech Republic,2011,0.03,CZE
Croatia,1988,0.04,HRV
Bulgaria,1989,0.04,BGR
Hungary,1989,0.04,HUN
Poland,1999,0.04,POL
Azerbaijan,2003,0.04,AZE
Ukraine,2004,0.04,UKR
Bosnia and Herzegovina,2007,0.04,BIH
Czech Republic,2008,0.04,CZE
Serbia,2008,0.04,SRB
Czech Republic,2010,0.04,CZE
Hungary,1987,0.05,HUN
Estonia,1988,0.05,EST
Estonia,1998,0.05,EST
Poland,2000,0.05,POL
Poland,2001,0.05,POL
Poland,2004,0.05,POL
Slovak Republic,2005,0.05,SVK
Ukraine,2005,0.05,UKR
Belarus,2006,0.05,BLR
Lithuania,2008,0.05,LTU
Hungary,2010,0.05,HUN
Serbia,2010,0.05,SRB
Hungary,2011,0.05,HUN
Lithuania,1988,0.06,LTU
Lithuania,2000,0.06,LTU
Croatia,2001,0.06,HRV
Belarus,2004,0.06,BLR
Lithuania,2004,0.06,LTU
Belarus,2005,0.06,BLR
Ukraine,2007,0.06,UKR
Ukraine,2009,0.06,UKR
Kazakhstan,2010,0.06,KAZ
Croatia,2000,0.07,HRV
Lithuania,2003,0.07,LTU
Czech Republic,2006,0.07,CZE
