,CountryName,X2013,X2014,X2015,Year,Value,Country,CountryCode
1.1981,Aruba,NA,NA,NA,1981,NA,1,ABW
2.1981,Andorra,NA,NA,NA,1981,NA,2,AND
3.1981,Afghanistan,NA,NA,NA,1981,NA,3,AFG
4.1981,Angola,NA,NA,NA,1981,NA,4,AGO
5.1981,Albania,NA,NA,NA,1981,NA,5,ALB
6.1981,Arab World,NA,NA,NA,1981,NA,6,ARB
7.1981,United Arab Emirates,NA,NA,NA,1981,NA,7,ARE
8.1981,Argentina,NA,NA,NA,1981,NA,8,ARG
9.1981,Armenia,NA,NA,NA,1981,NA,9,ARM
10.1981,American Samoa,NA,NA,NA,1981,NA,10,ASM
11.1981,Antigua and Barbuda,NA,NA,NA,1981,NA,11,ATG
12.1981,Australia,NA,NA,NA,1981,NA,12,AUS
13.1981,Austria,NA,NA,NA,1981,NA,13,AUT
14.1981,Azerbaijan,NA,NA,NA,1981,NA,14,AZE
15.1981,Burundi,NA,NA,NA,1981,NA,15,BDI
16.1981,Belgium,NA,NA,NA,1981,NA,16,BEL
17.1981,Benin,NA,NA,NA,1981,NA,17,BEN
18.1981,Burkina Faso,NA,NA,NA,1981,NA,18,BFA
19.1981,Bangladesh,NA,NA,NA,1981,NA,19,BGD
20.1981,Bulgaria,NA,NA,NA,1981,NA,20,BGR
21.1981,Bahrain,NA,NA,NA,1981,NA,21,BHR
22.1981,"Bahamas, The",NA,NA,NA,1981,NA,22,BHS
23.1981,Bosnia and Herzegovina,NA,NA,NA,1981,NA,23,BIH
24.1981,Belarus,NA,NA,NA,1981,NA,24,BLR
25.1981,Belize,NA,NA,NA,1981,NA,25,BLZ
26.1981,Bermuda,NA,NA,NA,1981,NA,26,BMU
27.1981,Bolivia,NA,NA,NA,1981,NA,27,BOL
28.1981,Brazil,NA,NA,NA,1981,NA,28,BRA
29.1981,Barbados,NA,NA,NA,1981,NA,29,BRB
30.1981,Brunei Darussalam,NA,NA,NA,1981,NA,30,BRN
31.1981,Bhutan,NA,NA,NA,1981,NA,31,BTN
32.1981,Botswana,NA,NA,NA,1981,NA,32,BWA
33.1981,Central African Republic,NA,NA,NA,1981,NA,33,CAF
34.1981,Canada,NA,NA,NA,1981,NA,34,CAN
35.1981,Central Europe and the Baltics,NA,NA,NA,1981,NA,35,CEB
