CountryName,Year,Value,hash
United Arab Emirates,1991,5,d115b8
Argentina,1991,5,354bf9
Barbados,1991,5,93409a
Brunei Darussalam,1991,5,d1a713
"Egypt, Arab Rep.",1991,5,ff11f8
Kazakhstan,1991,5,2f36b6
"Korea, Rep.",1991,5,89088f
Lebanon,1991,5,5caa7f
Saudi Arabia,1991,5,6f49c3
Tunisia,1991,5,edf404
Turkey,1991,5,d7153e
Uzbekistan,1991,5,db800e
South Africa,1991,5,35fda1
United Arab Emirates,1992,5,d115b8
Argentina,1992,5,354bf9
Barbados,1992,5,93409a
Brunei Darussalam,1992,5,d1a713
"Egypt, Arab Rep.",1992,5,ff11f8
"Iran, Islamic Rep.",1992,5,e3f25e
Kazakhstan,1992,5,2f36b6
"Korea, Rep.",1992,5,89088f
Lebanon,1992,5,5caa7f
Malaysia,1992,5,ff3ea3
Saudi Arabia,1992,5,6f49c3
Tunisia,1992,5,edf404
Turkey,1992,5,d7153e
Uzbekistan,1992,5,db800e
South Africa,1992,5,35fda1
United Arab Emirates,1993,5,d115b8
Argentina,1993,5,354bf9
Barbados,1993,5,93409a
Brunei Darussalam,1993,5,d1a713
"Egypt, Arab Rep.",1993,5,ff11f8
"Iran, Islamic Rep.",1993,5,e3f25e
Kazakhstan,1993,5,2f36b6
"Korea, Rep.",1993,5,89088f
Lebanon,1993,5,5caa7f
Malaysia,1993,5,ff3ea3
Saudi Arabia,1993,5,6f49c3
Tunisia,1993,5,edf404
Turkey,1993,5,d7153e
Uzbekistan,1993,5,db800e
South Africa,1993,5,35fda1
United Arab Emirates,1994,5,d115b8
Argentina,1994,5,354bf9
Barbados,1994,5,93409a
Brunei Darussalam,1994,5,d1a713
"Egypt, Arab Rep.",1994,5,ff11f8
"Iran, Islamic Rep.",1994,5,e3f25e
Kazakhstan,1994,5,2f36b6
"Korea, Rep.",1994,5,89088f
Lebanon,1994,5,5caa7f
Malaysia,1994,5,ff3ea3
Saudi Arabia,1994,5,6f49c3
Tunisia,1994,5,edf404
Turkey,1994,5,d7153e
Uzbekistan,1994,5,db800e
United Arab Emirates,1995,5,d115b8
Argentina,1995,5,354bf9
Barbados,1995,5,93409a
Brunei Darussalam,1995,5,d1a713
"Egypt, Arab Rep.",1995,5,ff11f8
"Iran, Islamic Rep.",1995,5,e3f25e
Kazakhstan,1995,5,2f36b6
"Korea, Rep.",1995,5,89088f
Lebanon,1995,5,5caa7f
Malaysia,1995,5,ff3ea3
Saudi Arabia,1995,5,6f49c3
Tunisia,1995,5,edf404
Turkey,1995,5,d7153e
Uruguay,1995,5,66b989
Uzbekistan,1995,5,db800e
United Arab Emirates,1996,5,d115b8
Argentina,1996,5,354bf9
Barbados,1996,5,93409a
Brunei Darussalam,1996,5,d1a713
"Egypt, Arab Rep.",1996,5,ff11f8
"Iran, Islamic Rep.",1996,5,e3f25e
Kazakhstan,1996,5,2f36b6
"Korea, Rep.",1996,5,89088f
Lebanon,1996,5,5caa7f
Malaysia,1996,5,ff3ea3
Saudi Arabia,1996,5,6f49c3
Tunisia,1996,5,edf404
Turkey,1996,5,d7153e
Uzbekistan,1996,5,db800e
United Arab Emirates,1997,5,d115b8
Argentina,1997,5,354bf9
Barbados,1997,5,93409a
Brunei Darussalam,1997,5,d1a713
"Egypt, Arab Rep.",1997,5,ff11f8
"Iran, Islamic Rep.",1997,5,e3f25e
Kazakhstan,1997,5,2f36b6
"Korea, Rep.",1997,5,89088f
Kuwait,1997,5,93295b
Lebanon,1997,5,5caa7f
Malaysia,1997,5,ff3ea3
Saudi Arabia,1997,5,6f49c3
Tunisia,1997,5,edf404
Turkey,1997,5,d7153e
United Arab Emirates,1998,5,d115b8
Argentina,1998,5,354bf9
Barbados,1998,5,93409a
Brunei Darussalam,1998,5,d1a713
"Egypt, Arab Rep.",1998,5,ff11f8
Fiji,1998,5,bbb7ef
"Iran, Islamic Rep.",1998,5,e3f25e
Kazakhstan,1998,5,2f36b6
"Korea, Rep.",1998,5,89088f
Kuwait,1998,5,93295b
Lebanon,1998,5,5caa7f
Malaysia,1998,5,ff3ea3
Saudi Arabia,1998,5,6f49c3
Tunisia,1998,5,edf404
Turkey,1998,5,d7153e
Uruguay,1998,5,66b989
United Arab Emirates,1999,5,d115b8
Argentina,1999,5,354bf9
Barbados,1999,5,93409a
Brunei Darussalam,1999,5,d1a713
"Egypt, Arab Rep.",1999,5,ff11f8
Fiji,1999,5,bbb7ef
"Iran, Islamic Rep.",1999,5,e3f25e
Kazakhstan,1999,5,2f36b6
"Korea, Rep.",1999,5,89088f
Kuwait,1999,5,93295b
Lebanon,1999,5,5caa7f
Mexico,1999,5,41937b
Malaysia,1999,5,ff3ea3
Saudi Arabia,1999,5,6f49c3
Tunisia,1999,5,edf404
Turkey,1999,5,d7153e
Uruguay,1999,5,66b989
United Arab Emirates,2000,5,d115b8
Argentina,2000,5,354bf9
Barbados,2000,5,93409a
Brunei Darussalam,2000,5,d1a713
Chile,2000,5,349507
"Egypt, Arab Rep.",2000,5,ff11f8
Fiji,2000,5,bbb7ef
Gabon,2000,5,a06dcd
Kazakhstan,2000,5,2f36b6
Kiribati,2000,5,3f57ad
"Korea, Rep.",2000,5,89088f
Kuwait,2000,5,93295b
Lebanon,2000,5,5caa7f
Mexico,2000,5,41937b
Malaysia,2000,5,ff3ea3
Saudi Arabia,2000,5,6f49c3
Tunisia,2000,5,edf404
Turkey,2000,5,d7153e
Uruguay,2000,5,66b989
South Africa,2000,5,35fda1
United Arab Emirates,2001,5,d115b8
Argentina,2001,5,354bf9
Brunei Darussalam,2001,5,d1a713
Chile,2001,5,349507
Cuba,2001,5,c484b1
"Egypt, Arab Rep.",2001,5,ff11f8
Fiji,2001,5,bbb7ef
Gabon,2001,5,a06dcd
Kazakhstan,2001,5,2f36b6
Kiribati,2001,5,3f57ad
"Korea, Rep.",2001,5,89088f
Kuwait,2001,5,93295b
Lebanon,2001,5,5caa7f
Mexico,2001,5,41937b
Malaysia,2001,5,ff3ea3
Saudi Arabia,2001,5,6f49c3
Tunisia,2001,5,edf404
Turkey,2001,5,d7153e
Uruguay,2001,5,66b989
South Africa,2001,5,35fda1
United Arab Emirates,2002,5,d115b8
Argentina,2002,5,354bf9
Brunei Darussalam,2002,5,d1a713
Chile,2002,5,349507
Cuba,2002,5,c484b1
"Egypt, Arab Rep.",2002,5,ff11f8
Fiji,2002,5,bbb7ef
Gabon,2002,5,a06dcd
Jordan,2002,5,674027
Kazakhstan,2002,5,2f36b6
Kiribati,2002,5,3f57ad
"Korea, Rep.",2002,5,89088f
Kuwait,2002,5,93295b
Lebanon,2002,5,5caa7f
Mexico,2002,5,41937b
Malaysia,2002,5,ff3ea3
Saudi Arabia,2002,5,6f49c3
Tunisia,2002,5,edf404
Turkey,2002,5,d7153e
Uruguay,2002,5,66b989
Samoa,2002,5,f56806
South Africa,2002,5,35fda1
United Arab Emirates,2003,5,d115b8
Argentina,2003,5,354bf9
Belize,2003,5,42ab0c
Brunei Darussalam,2003,5,d1a713
Chile,2003,5,349507
Cuba,2003,5,c484b1
"Egypt, Arab Rep.",2003,5,ff11f8
Fiji,2003,5,bbb7ef
Gabon,2003,5,a06dcd
Jordan,2003,5,674027
Kiribati,2003,5,3f57ad
"Korea, Rep.",2003,5,89088f
Kuwait,2003,5,93295b
Lebanon,2003,5,5caa7f
Malaysia,2003,5,ff3ea3
Saudi Arabia,2003,5,6f49c3
Tunisia,2003,5,edf404
Turkey,2003,5,d7153e
Uruguay,2003,5,66b989
Samoa,2003,5,f56806
South Africa,2003,5,35fda1
United Arab Emirates,2004,5,d115b8
Argentina,2004,5,354bf9
Belize,2004,5,42ab0c
Brunei Darussalam,2004,5,d1a713
Chile,2004,5,349507
Cuba,2004,5,c484b1
"Egypt, Arab Rep.",2004,5,ff11f8
Fiji,2004,5,bbb7ef
Gabon,2004,5,a06dcd
Jordan,2004,5,674027
Kiribati,2004,5,3f57ad
"Korea, Rep.",2004,5,89088f
Kuwait,2004,5,93295b
Lebanon,2004,5,5caa7f
Malaysia,2004,5,ff3ea3
Saudi Arabia,2004,5,6f49c3
Tunisia,2004,5,edf404
Turkey,2004,5,d7153e
Uruguay,2004,5,66b989
Samoa,2004,5,f56806
South Africa,2004,5,35fda1
United Arab Emirates,2005,5,d115b8
Argentina,2005,5,354bf9
Azerbaijan,2005,5,213598
Belize,2005,5,42ab0c
Brazil,2005,5,37497a
Brunei Darussalam,2005,5,d1a713
Chile,2005,5,349507
Cuba,2005,5,c484b1
"Egypt, Arab Rep.",2005,5,ff11f8
Fiji,2005,5,bbb7ef
Gabon,2005,5,a06dcd
Jordan,2005,5,674027
Kiribati,2005,5,3f57ad
"Korea, Rep.",2005,5,89088f
Kuwait,2005,5,93295b
Lebanon,2005,5,5caa7f
Malaysia,2005,5,ff3ea3
Saudi Arabia,2005,5,6f49c3
Tunisia,2005,5,edf404
Turkey,2005,5,d7153e
Uruguay,2005,5,66b989
Samoa,2005,5,f56806
South Africa,2005,5,35fda1
United Arab Emirates,2006,5,d115b8
Argentina,2006,5,354bf9
Azerbaijan,2006,5,213598
Belize,2006,5,42ab0c
Brazil,2006,5,37497a
Brunei Darussalam,2006,5,d1a713
Chile,2006,5,349507
Cuba,2006,5,c484b1
"Egypt, Arab Rep.",2006,5,ff11f8
Fiji,2006,5,bbb7ef
Gabon,2006,5,a06dcd
Jordan,2006,5,674027
Kazakhstan,2006,5,2f36b6
Kiribati,2006,5,3f57ad
"Korea, Rep.",2006,5,89088f
Kuwait,2006,5,93295b
Lebanon,2006,5,5caa7f
Mexico,2006,5,41937b
Malaysia,2006,5,ff3ea3
Saudi Arabia,2006,5,6f49c3
Tunisia,2006,5,edf404
Turkey,2006,5,d7153e
Uruguay,2006,5,66b989
Samoa,2006,5,f56806
South Africa,2006,5,35fda1
United Arab Emirates,2007,5,d115b8
Argentina,2007,5,354bf9
Azerbaijan,2007,5,213598
Brazil,2007,5,37497a
Brunei Darussalam,2007,5,d1a713
Chile,2007,5,349507
Cuba,2007,5,c484b1
"Egypt, Arab Rep.",2007,5,ff11f8
Fiji,2007,5,bbb7ef
Gabon,2007,5,a06dcd
Jordan,2007,5,674027
Kazakhstan,2007,5,2f36b6
Kiribati,2007,5,3f57ad
"Korea, Rep.",2007,5,89088f
Kuwait,2007,5,93295b
Lebanon,2007,5,5caa7f
Mexico,2007,5,41937b
Malaysia,2007,5,ff3ea3
Saudi Arabia,2007,5,6f49c3
Turkmenistan,2007,5,1f8dc1
Tunisia,2007,5,edf404
Turkey,2007,5,d7153e
Uruguay,2007,5,66b989
Samoa,2007,5,f56806
South Africa,2007,5,35fda1
United Arab Emirates,2008,5,d115b8
Argentina,2008,5,354bf9
Azerbaijan,2008,5,213598
Brazil,2008,5,37497a
Brunei Darussalam,2008,5,d1a713
Chile,2008,5,349507
Cuba,2008,5,c484b1
"Egypt, Arab Rep.",2008,5,ff11f8
Fiji,2008,5,bbb7ef
Gabon,2008,5,a06dcd
Jordan,2008,5,674027
Kazakhstan,2008,5,2f36b6
Kiribati,2008,5,3f57ad
"Korea, Rep.",2008,5,89088f
Kuwait,2008,5,93295b
Lebanon,2008,5,5caa7f
Mexico,2008,5,41937b
Malaysia,2008,5,ff3ea3
Saudi Arabia,2008,5,6f49c3
Turkmenistan,2008,5,1f8dc1
Tunisia,2008,5,edf404
Turkey,2008,5,d7153e
